,Close
2024-05-13,180.9
2024-05-10,179.79
2024-05-09,178.06
2024-05-08,177.41
2024-05-07,178.02
2024-05-06,175.82
2024-05-03,176.15
2024-05-02,175.45
2024-05-01,175.15
2024-04-30,175.91
2024-04-29,176.14
2024-04-26,175.58
2024-04-25,176.68
2024-04-24,177.41
2024-04-23,171.22
2024-04-22,176.46
2024-04-19,174.13
2024-04-18,172.27
2024-04-17,169.48
2024-04-16,167.5
2024-04-15,166.95
2024-04-12,168.1
2024-04-11,168.36
2024-04-10,168.95
2024-04-09,170.61
2024-04-08,169.58
2024-04-05,169.14
2024-04-04,169.65
2024-04-03,169.68
2024-04-02,171.44
2024-04-01,172.98
2024-03-28,175.01
2024-03-27,173.57
2024-03-26,172.73
2024-03-25,172.6
2024-03-22,172.02
2024-03-21,172.45
2024-03-20,171.86
2024-03-19,171.8
2024-03-18,171.26
2024-03-15,164.66
2024-03-14,164.78
2024-03-13,165.3
2024-03-12,164.54
2024-03-11,164.73
2024-03-08,163.05
2024-03-07,163.11
2024-03-06,163.0
2024-03-05,162.04
2024-03-04,165.37
2024-03-01,164.59
2024-02-29,165.34
2024-02-28,167.03
2024-02-27,168.16
2024-02-26,168.26
2024-02-23,169.6
2024-02-22,168.25
2024-02-21,168.83
2024-02-20,168.65
2024-02-16,166.32
2024-02-15,167.86
2024-02-14,167.52
2024-02-13,168.88
2024-02-12,170.61
2024-02-09,167.67
2024-02-08,173.85
2024-02-07,171.47
2024-02-06,171.42
2024-02-05,170.92
2024-02-02,170.97
2024-02-01,171.7
2024-01-31,168.53
2024-01-30,169.62
2024-01-29,168.15
2024-01-26,167.86
2024-01-25,166.56
2024-01-24,165.6
2024-01-23,167.64
2024-01-22,165.11
2024-01-19,165.78
2024-01-18,167.17
2024-01-17,166.44
2024-01-16,166.17
2024-01-12,167.27
2024-01-11,166.13
2024-01-10,166.92
2024-01-09,167.17
2024-01-08,169.11
2024-01-05,168.94
2024-01-04,171.47
2024-01-03,172.95
2024-01-02,172.91
2023-12-29,169.84
2023-12-28,169.39
2023-12-27,169.4
2023-12-26,168.86
2023-12-22,167.68
2023-12-21,166.97
2023-12-20,165.69
2023-12-19,167.95
2023-12-18,168.91
2023-12-15,167.0
2023-12-14,168.25
2023-12-13,172.01
2023-12-12,168.47
2023-12-11,167.82
2023-12-08,165.68
2023-12-07,167.46
2023-12-06,167.51
2023-12-05,167.94
2023-12-04,169.14
2023-12-01,168.69
2023-11-30,168.29
2023-11-29,167.16
2023-11-28,168.86
2023-11-27,168.32
2023-11-24,169.37
2023-11-22,169.22
2023-11-21,167.8
2023-11-20,166.52
2023-11-17,166.76
2023-11-16,167.71
2023-11-15,167.25
2023-11-14,168.11
2023-11-13,167.77
2023-11-10,166.92
2023-11-09,166.16
2023-11-08,167.39
2023-11-07,167.18
2023-11-06,166.7
2023-11-03,166.79
2023-11-02,166.83
2023-11-01,164.87
2023-10-31,163.28
2023-10-30,162.28
2023-10-27,159.62
2023-10-26,161.41
2023-10-25,162.35
2023-10-24,162.19
2023-10-23,160.08
2023-10-20,160.0
2023-10-19,160.56
2023-10-18,162.03
2023-10-17,160.37
2023-10-16,161.08
2023-10-13,160.0
2023-10-12,158.08
2023-10-11,162.62
2023-10-10,164.4
2023-10-09,161.36
2023-10-06,160.29
2023-10-05,160.1
2023-10-04,168.91
2023-10-03,167.7
2023-10-02,169.17
2023-09-29,169.44
2023-09-28,169.5
2023-09-27,169.57
2023-09-26,172.52
2023-09-25,174.33
2023-09-22,175.27
2023-09-21,175.38
2023-09-20,178.38
