,Close
2024-05-13,63.95
2024-05-10,62.93
2024-05-09,64.45
2024-05-08,63.81
2024-05-07,65.92
2024-05-06,65.61
2024-05-03,65.7
2024-05-02,66.98
2024-05-01,66.14
2024-04-30,67.92
2024-04-29,66.99
2024-04-26,65.96
2024-04-25,64.1
2024-04-24,64.84
2024-04-23,64.43
2024-04-22,63.19
2024-04-19,62.32
2024-04-18,62.1
2024-04-17,63.26
2024-04-16,63.43
2024-04-15,63.51
2024-04-12,64.59
2024-04-11,65.8
2024-04-10,65.88
2024-04-09,67.0
2024-04-08,66.34
2024-04-05,65.15
2024-04-04,64.54
2024-04-03,65.34
2024-04-02,64.66
2024-04-01,65.03
2024-03-28,66.99
2024-03-27,66.57
2024-03-26,66.67
2024-03-25,66.0
2024-03-22,64.77
2024-03-21,66.14
2024-03-20,65.05
2024-03-19,63.01
2024-03-18,64.23
2024-03-15,62.85
2024-03-14,63.0
2024-03-13,62.45
2024-03-12,60.03
2024-03-11,60.08
2024-03-08,59.01
2024-03-07,58.5
2024-03-06,58.12
2024-03-05,58.27
2024-03-04,59.98
2024-03-01,60.54
2024-02-29,60.34
2024-02-28,60.25
2024-02-27,60.16
2024-02-26,59.33
2024-02-23,59.16
2024-02-22,58.35
2024-02-21,57.48
2024-02-20,58.63
2024-02-16,59.14
2024-02-15,59.7
2024-02-14,58.87
2024-02-13,58.26
2024-02-12,60.09
2024-02-09,58.91
2024-02-08,56.13
2024-02-07,63.24
2024-02-06,63.71
2024-02-05,61.54
2024-02-02,62.42
2024-02-01,62.02
2024-01-31,61.35
2024-01-30,63.68
2024-01-29,63.76
2024-01-26,61.78
2024-01-25,60.71
2024-01-24,63.02
2024-01-23,64.78
2024-01-22,63.74
2024-01-19,65.82
2024-01-18,62.09
2024-01-17,59.89
2024-01-16,58.45
2024-01-12,61.0
2024-01-11,61.35
2024-01-10,60.96
2024-01-09,61.05
2024-01-08,61.74
2024-01-05,60.12
2024-01-04,58.45
2024-01-03,58.63
2024-01-02,61.46
2023-12-29,61.41
2023-12-28,63.08
2023-12-27,62.68
2023-12-26,62.56
2023-12-22,61.84
2023-12-21,62.06
2023-12-20,61.74
2023-12-19,63.01
2023-12-18,61.47
2023-12-15,61.26
2023-12-14,61.87
2023-12-13,61.73
2023-12-12,58.89
2023-12-11,59.04
2023-12-08,58.94
2023-12-07,58.48
2023-12-06,59.53
2023-12-05,57.92
2023-12-04,59.85
2023-12-01,59.65
2023-11-30,57.61
2023-11-29,57.97
2023-11-28,58.47
2023-11-27,56.39
2023-11-24,55.76
2023-11-22,56.34
2023-11-21,55.4
2023-11-20,56.99
2023-11-17,56.54
2023-11-16,56.82
2023-11-15,58.25
2023-11-14,56.68
2023-11-13,54.39
2023-11-10,54.77
2023-11-09,54.28
2023-11-08,55.08
2023-11-07,54.63
2023-11-06,54.62
2023-11-03,56.1
2023-11-02,55.06
2023-11-01,51.66
2023-10-31,51.8
2023-10-30,51.05
2023-10-27,50.39
2023-10-26,51.75
2023-10-25,51.49
2023-10-24,54.24
2023-10-23,53.45
2023-10-20,53.39
2023-10-19,54.81
2023-10-18,55.8
2023-10-17,57.16
2023-10-16,57.0
2023-10-13,55.75
2023-10-12,56.355
2023-10-11,58.07
2023-10-10,57.72
2023-10-09,57.96
2023-10-06,57.77
2023-10-05,57.48
2023-10-04,58.57
2023-10-03,57.3
2023-10-02,58.56
2023-09-29,58.46
2023-09-28,58.18
2023-09-27,57.34
2023-09-26,58.93
2023-09-25,58.86
2023-09-22,57.88
2023-09-21,58.62
2023-09-20,60.86
2023-09-19,62.19
2023-09-18,62.94
2023-09-15,64.21
2023-09-14,64.44
2023-09-13,62.84
