,Close
2024-05-13,184.21
2024-05-10,182.08
2024-05-09,180.54
2024-05-08,180.55
2024-05-07,180.15
2024-05-06,181.85
2024-05-03,179.64
2024-05-02,180.1
2024-05-01,164.11
2024-04-30,165.85
2024-04-29,169.2
2024-04-26,165.66
2024-04-25,163.3
2024-04-24,163.63
2024-04-23,161.35
2024-04-22,160.18
2024-04-19,157.61
2024-04-18,161.44
2024-04-17,164.32
2024-04-16,168.58
2024-04-15,169.84
2024-04-12,171.29
2024-04-11,175.13
2024-04-10,170.86
2024-04-09,175.57
2024-04-08,173.62
2024-04-05,171.53
2024-04-04,169.76
2024-04-03,173.91
2024-04-02,171.04
2024-04-01,171.72
2024-03-28,169.3
2024-03-27,169.13
2024-03-26,167.07
2024-03-25,167.52
2024-03-22,170.1
2024-03-21,170.85
2024-03-20,167.67
2024-03-19,164.1
2024-03-18,166.92
2024-03-15,167.2
2024-03-14,168.45
2024-03-13,169.25
2024-03-12,173.08
2024-03-11,171.12
2024-03-08,170.57
2024-03-07,175.72
2024-03-06,167.89
2024-03-05,161.45
2024-03-04,166.56
2024-03-01,163.09
2024-02-29,157.79
2024-02-28,155.85
2024-02-27,158.3
2024-02-26,157.03
2024-02-23,154.91
2024-02-22,154.75
2024-02-21,152.01
2024-02-20,151.96
2024-02-16,152.69
2024-02-15,155.98
2024-02-14,153.94
2024-02-13,150.04
2024-02-12,153.1
2024-02-09,151.0
2024-02-08,148.18
2024-02-07,145.89
2024-02-06,144.1
2024-02-05,144.03
2024-02-02,141.69
2024-02-01,141.11
2024-01-31,148.51
2024-01-30,145.98
2024-01-29,149.64
2024-01-26,150.72
2024-01-25,154.47
2024-01-24,154.37
2024-01-23,153.5
2024-01-22,152.87
2024-01-19,151.96
2024-01-18,145.29
2024-01-17,139.32
2024-01-16,141.12
2024-01-12,140.2
2024-01-11,139.03
2024-01-10,139.31
2024-01-09,139.89
2024-01-08,139.03
2024-01-05,136.73
2024-01-04,136.17
2024-01-03,137.6
2024-01-02,140.23
2023-12-29,144.63
2023-12-28,145.86
2023-12-27,145.72
2023-12-26,145.46
2023-12-22,143.49
2023-12-21,142.44
2023-12-20,140.44
2023-12-19,143.23
2023-12-18,141.65
2023-12-15,143.13
2023-12-14,141.5
2023-12-13,138.8
2023-12-12,136.68
2023-12-11,136.1
2023-12-08,132.97
2023-12-07,132.94
2023-12-06,129.96
2023-12-05,130.75
2023-12-04,129.95
2023-12-01,129.67
2023-11-30,129.05
2023-11-29,127.91
2023-11-28,126.59
2023-11-27,128.2
2023-11-24,127.75
2023-11-22,127.5
2023-11-21,127.02
2023-11-20,129.51
2023-11-17,129.47
2023-11-16,128.7
2023-11-15,128.92
2023-11-14,127.36
2023-11-13,123.85
2023-11-10,124.21
2023-11-09,120.1
2023-11-08,120.06
2023-11-07,120.72
2023-11-06,119.93
2023-11-03,119.52
2023-11-02,117.36
2023-11-01,110.89
2023-10-31,108.99
2023-10-30,107.83
2023-10-27,106.46
2023-10-26,105.62
2023-10-25,104.78
2023-10-24,109.39
2023-10-23,108.66
2023-10-20,108.63
2023-10-19,111.28
2023-10-18,110.98
2023-10-17,112.2
2023-10-16,110.51
2023-10-13,108.66
2023-10-12,111.455
2023-10-11,111.12
2023-10-10,112.31
2023-10-09,111.8
2023-10-06,110.88
2023-10-05,109.8
2023-10-04,109.85
2023-10-03,110.19
2023-10-02,111.1
2023-09-29,111.06
2023-09-28,111.1
2023-09-27,109.19
2023-09-26,109.72
2023-09-25,110.43
2023-09-22,107.68
2023-09-21,107.96
2023-09-20,109.22
2023-09-19,110.72
2023-09-18,112.75
2023-09-15,113.14
2023-09-14,114.04
2023-09-13,112.64
2023-09-12,111.23
