,Close
2024-05-13,521.76
2024-05-10,523.5
2024-05-09,523.33
2024-05-08,521.05
2024-05-07,520.26
2024-05-06,515.54
2024-05-03,517.21
2024-05-02,510.82
2024-05-01,514.76
2024-04-30,511.46
2024-04-29,513.58
2024-04-26,526.78
2024-04-25,540.41
2024-04-24,538.01
2024-04-23,539.62
2024-04-22,539.11
2024-04-19,534.38
2024-04-18,527.27
2024-04-17,526.47
2024-04-16,526.98
2024-04-15,528.26
2024-04-12,535.83
2024-04-11,539.64
2024-04-10,535.99
2024-04-09,543.48
2024-04-08,543.23
2024-04-05,543.01
2024-04-04,537.28
2024-04-03,544.68
2024-04-02,545.94
2024-04-01,553.62
2024-03-28,560.84
2024-03-27,559.18
2024-03-26,554.43
2024-03-25,550.94
2024-03-22,556.38
2024-03-21,556.28
2024-03-20,554.06
2024-03-19,551.87
2024-03-18,546.16
2024-03-15,547.35
2024-03-14,547.08
2024-03-13,549.52
2024-03-12,555.2
2024-03-11,553.88
2024-03-08,545.95
2024-03-07,546.32
2024-03-06,540.21
2024-03-05,537.01
2024-03-04,547.22
2024-03-01,547.96
2024-02-29,544.73
2024-02-28,543.45
2024-02-27,547.1
2024-02-26,547.91
2024-02-23,556.87
2024-02-22,555.31
2024-02-21,549.02
2024-02-20,544.11
2024-02-16,545.57
2024-02-15,547.98
2024-02-14,541.71
2024-02-13,535.42
2024-02-12,542.31
2024-02-09,550.26
2024-02-08,545.34
2024-02-07,548.69
2024-02-06,545.3
2024-02-05,545.89
2024-02-02,549.62
2024-02-01,545.81
2024-01-31,537.0
2024-01-30,561.57
2024-01-29,555.93
2024-01-26,549.68
2024-01-25,551.7
2024-01-24,547.77
2024-01-23,552.81
2024-01-22,549.91
2024-01-19,548.49
2024-01-18,541.94
2024-01-17,537.19
2024-01-16,537.27
2024-01-12,534.19
2024-01-11,532.4
2024-01-10,530.3
2024-01-09,531.52
2024-01-08,528.78
2024-01-05,523.07
2024-01-04,524.17
2024-01-03,531.0
2024-01-02,534.49
2023-12-29,545.17
2023-12-28,546.15
2023-12-27,543.75
2023-12-26,543.55
2023-12-22,542.85
2023-12-21,540.3
2023-12-20,534.94
2023-12-19,541.56
2023-12-18,542.97
2023-12-15,541.55
2023-12-14,538.83
2023-12-13,550.77
2023-12-12,543.46
2023-12-11,540.21
2023-12-08,536.6
2023-12-07,534.8
2023-12-06,535.37
2023-12-05,535.54
2023-12-04,536.75
2023-12-01,540.58
2023-11-30,538.25
2023-11-29,525.83
2023-11-28,525.87
2023-11-27,525.0
2023-11-24,525.59
2023-11-22,528.48
2023-11-21,527.15
2023-11-20,524.72
2023-11-17,524.72
2023-11-16,525.1
2023-11-15,520.88
2023-11-14,524.7
2023-11-13,517.0
2023-11-10,517.15
2023-11-09,509.74
2023-11-08,511.06
2023-11-07,507.06
2023-11-06,503.2
2023-11-03,502.54
2023-11-02,494.05
2023-11-01,487.15
2023-10-31,488.57
2023-10-30,484.8
2023-10-27,475.57
2023-10-26,480.38
2023-10-25,481.21
2023-10-24,482.55
2023-10-23,477.82
2023-10-20,482.12
2023-10-19,487.53
2023-10-18,492.9
2023-10-17,499.93
2023-10-16,501.91
2023-10-13,497.84
2023-10-12,502.3
2023-10-11,502.03
2023-10-10,497.19
2023-10-09,499.56
2023-10-06,494.83
2023-10-05,489.18
2023-10-04,488.15
2023-10-03,480.02
2023-10-02,483.88
2023-09-29,484.28
2023-09-28,487.49
2023-09-27,486.63
2023-09-26,483.46
2023-09-25,492.59
2023-09-22,494.97
2023-09-21,495.63
2023-09-20,504.15
2023-09-19,502.76
2023-09-18,499.16
2023-09-15,495.81
2023-09-14,499.42
2023-09-13,495.48
2023-09-12,493.69
2023-09-11,497.86
2023-09-08,491.51
2023-09-07,494.34
2023-09-06,495.0
2023-09-05,493.39
2023-09-01,499.54
2023-08-31,499.06
2023-08-30,502.62
2023-08-29,498.15
2023-08-28,495.64
2023-08-25,494.79
2023-08-24,488.71
2023-08-23,493.07
2023-08-22,487.57
2023-08-21,485.99
2023-08-18,484.34
2023-08-17,486.73
2023-08-16,495.64
2023-08-15,494.81
2023-08-14,496.21
2023-08-11,489.11
2023-08-10,487.98
2023-08-09,488.56
2023-08-08,491.28
2023-08-07,492.7
2023-08-04,486.71
2023-08-03,490.97
2023-08-02,491.16
2023-08-01,492.65
2023-07-31,493.05
2023-07-28,492.4
2023-07-27,491.19
2023-07-26,493.85
2023-07-25,494.36
2023-07-24,495.16
2023-07-21,499.38
2023-07-20,481.59
2023-07-19,482.63
2023-07-18,480.2
2023-07-17,476.53
