,Close
2024-05-13,133.6
2024-05-10,133.48
2024-05-09,134.87
2024-05-08,132.76
2024-05-07,131.58
2024-05-06,132.48
2024-05-03,130.84
2024-05-02,127.68
2024-05-01,127.82
2024-04-30,129.55
2024-04-29,131.06
2024-04-26,133.61
2024-04-25,132.15
2024-04-24,132.61
2024-04-23,133.09
2024-04-22,133.77
2024-04-19,133.34
2024-04-18,131.8
2024-04-17,132.79
2024-04-16,133.83
2024-04-15,133.65
2024-04-12,135.99
2024-04-11,139.94
2024-04-10,138.29
2024-04-09,139.92
2024-04-08,140.27
2024-04-05,139.53
2024-04-04,139.71
2024-04-03,141.52
2024-04-02,143.68
2024-04-01,145.09
2024-03-28,146.76
2024-03-27,147.19
2024-03-26,144.57
2024-03-25,144.59
2024-03-22,145.37
2024-03-21,147.19
2024-03-20,146.98
2024-03-19,146.43
2024-03-18,144.31
2024-03-15,145.12
2024-03-14,146.02
2024-03-13,147.09
2024-03-12,146.49
2024-03-11,145.87
2024-03-08,145.74
2024-03-07,146.02
2024-03-06,148.12
2024-03-05,149.17
2024-03-04,149.96
2024-03-01,149.63
2024-02-29,148.96
2024-02-28,150.45
2024-02-27,149.62
2024-02-26,147.84
2024-02-23,148.03
2024-02-22,146.9
2024-02-21,144.82
2024-02-20,144.45
2024-02-16,144.08
2024-02-15,144.39
2024-02-14,144.49
2024-02-13,144.94
2024-02-12,145.41
2024-02-09,145.87
2024-02-08,146.06
2024-02-07,143.25
2024-02-06,142.16
2024-02-05,142.75
2024-02-02,143.68
2024-02-01,143.11
2024-01-31,140.28
2024-01-30,142.51
2024-01-29,142.94
2024-01-26,141.76
2024-01-25,140.81
2024-01-24,138.73
2024-01-23,138.88
2024-01-22,138.23
2024-01-19,137.63
2024-01-18,137.47
2024-01-17,135.6
2024-01-16,137.08
2024-01-12,136.58
2024-01-11,136.77
2024-01-10,135.96
2024-01-09,135.9
2024-01-08,135.81
2024-01-05,134.5
2024-01-04,135.27
2024-01-03,134.77
2024-01-02,137.68
2023-12-29,138.39
2023-12-28,138.2
2023-12-27,137.41
2023-12-26,137.0
2023-12-22,136.42
2023-12-21,135.88
2023-12-20,134.61
2023-12-19,135.87
2023-12-18,135.04
2023-12-15,133.94
2023-12-14,134.59
2023-12-13,137.77
2023-12-12,135.45
2023-12-11,135.29
2023-12-08,132.08
2023-12-07,131.66
2023-12-06,132.43
2023-12-05,132.24
2023-12-04,132.65
2023-12-01,132.14
2023-11-30,130.38
2023-11-29,129.2
2023-11-28,130.3
2023-11-27,131.09
2023-11-24,131.09
2023-11-22,130.98
2023-11-21,130.72
2023-11-20,129.43
2023-11-17,128.82
2023-11-16,120.15
2023-11-15,123.97
2023-11-14,124.8
2023-11-13,122.36
2023-11-10,123.33
2023-11-09,122.37
2023-11-08,122.79
2023-11-07,123.16
2023-11-06,122.14
2023-11-03,121.25
2023-11-02,118.32
2023-11-01,115.98
2023-10-31,115.97
2023-10-30,114.7
2023-10-27,112.79
2023-10-26,114.29
2023-10-25,115.54
2023-10-24,115.81
2023-10-23,114.41
2023-10-20,115.66
2023-10-19,116.26
2023-10-18,117.24
2023-10-17,118.0
2023-10-16,116.39
2023-10-13,112.04
2023-10-12,113.2
2023-10-11,113.67
2023-10-10,113.1
2023-10-09,113.07
2023-10-06,112.38
2023-10-05,111.72
2023-10-04,111.99
2023-10-03,111.91
2023-10-02,114.47
2023-09-29,112.95
2023-09-28,111.81
2023-09-27,108.92
2023-09-26,109.55
2023-09-25,109.67
2023-09-22,111.66
2023-09-21,113.13
2023-09-20,114.95
2023-09-19,116.3
2023-09-18,117.67
2023-09-15,118.17
2023-09-14,117.8
2023-09-13,116.82
2023-09-12,118.4
2023-09-11,118.39
2023-09-08,119.36
2023-09-07,119.42
2023-09-06,119.95
2023-09-05,120.61
2023-09-01,121.7
2023-08-31,121.81
2023-08-30,121.65
2023-08-29,121.02
2023-08-28,119.93
2023-08-25,119.0
2023-08-24,118.86
2023-08-23,121.88
2023-08-22,117.79
2023-08-21,119.16
2023-08-18,118.72
2023-08-17,113.06
2023-08-16,115.23
2023-08-15,114.01
2023-08-14,114.12
2023-08-11,113.39
2023-08-10,113.88
