,Close
2024-05-13,76.18
2024-05-10,76.11
2024-05-09,75.68
2024-05-08,73.5
2024-05-07,72.5
2024-05-06,72.9
2024-05-03,73.11
2024-05-02,74.93
2024-05-01,74.44
2024-04-30,88.49
2024-04-29,88.33
2024-04-26,88.25
2024-04-25,87.84
2024-04-24,88.75
2024-04-23,87.87
2024-04-22,88.18
2024-04-19,87.61
2024-04-18,87.15
2024-04-17,86.21
2024-04-16,85.42
2024-04-15,85.17
2024-04-12,84.92
2024-04-11,85.9
2024-04-10,85.95
2024-04-09,87.13
2024-04-08,87.195
2024-04-05,86.85
2024-04-04,87.62
2024-04-03,88.7
2024-04-02,89.3
2024-04-01,91.53
2024-03-28,91.39
2024-03-27,91.5
2024-03-26,90.36
2024-03-25,90.67
2024-03-22,90.71
2024-03-21,91.66
2024-03-20,92.6
2024-03-19,91.59
2024-03-18,91.01
2024-03-15,90.12
2024-03-14,91.66
2024-03-13,91.61
2024-03-12,92.4
2024-03-11,92.07
2024-03-08,91.06
2024-03-07,90.95
2024-03-06,91.65
2024-03-05,91.22
2024-03-04,92.46
2024-03-01,93.16
2024-02-29,94.9
2024-02-28,93.0
2024-02-27,94.13
2024-02-26,94.28
2024-02-23,95.62
2024-02-22,95.78
2024-02-21,95.02
2024-02-20,93.46
2024-02-16,93.22
2024-02-15,93.22
2024-02-14,94.07
2024-02-13,93.87
2024-02-12,95.47
2024-02-09,97.3
2024-02-08,96.59
2024-02-07,95.31
2024-02-06,95.67
2024-02-05,92.51
2024-02-02,92.99
2024-02-01,93.37
2024-01-31,93.03
2024-01-30,94.08
2024-01-29,93.8
2024-01-26,92.8
2024-01-25,92.61
2024-01-24,92.04
2024-01-23,91.97
2024-01-22,93.07
2024-01-19,93.86
2024-01-18,93.34
2024-01-17,91.77
2024-01-16,92.7
2024-01-12,91.98
2024-01-11,92.94
2024-01-10,93.5
2024-01-09,93.09
2024-01-08,94.19
2024-01-05,92.99
2024-01-04,93.55
2024-01-03,93.23
2024-01-02,93.67
2023-12-29,96.01
2023-12-28,95.93
2023-12-27,95.29
2023-12-26,95.67
2023-12-22,95.28
2023-12-21,95.33
2023-12-20,94.71
2023-12-19,97.72
2023-12-18,96.56
2023-12-15,96.75
2023-12-14,97.84
2023-12-13,98.11
2023-12-12,98.15
2023-12-11,98.12
2023-12-08,96.61
2023-12-07,96.44
2023-12-06,97.02
2023-12-05,95.54
2023-12-04,97.6
2023-12-01,99.2
2023-11-30,99.3
2023-11-29,99.85
2023-11-28,101.18
2023-11-27,102.36
2023-11-24,102.78
2023-11-22,103.44
2023-11-21,103.69
2023-11-20,104.3
2023-11-17,105.57
2023-11-16,107.21
2023-11-15,106.03
2023-11-14,105.6
2023-11-13,103.51
2023-11-10,104.33
2023-11-09,102.23
2023-11-08,104.3
2023-11-07,103.68
2023-11-06,104.03
2023-11-03,102.65
2023-11-02,100.01
2023-11-01,91.35
2023-10-31,92.24
2023-10-30,93.15
2023-10-27,92.02
2023-10-26,92.67
2023-10-25,94.0
2023-10-24,94.62
2023-10-23,94.2
2023-10-20,94.19
2023-10-19,94.42
2023-10-18,93.75
2023-10-17,94.18
2023-10-16,93.65
2023-10-13,91.48
2023-10-12,91.42
2023-10-11,91.95
2023-10-10,93.18
2023-10-09,92.68
2023-10-06,92.85
2023-10-05,92.37
2023-10-04,91.15
2023-10-03,89.48
2023-10-02,91.13
2023-09-29,91.27
2023-09-28,91.08
2023-09-27,91.17
2023-09-26,92.0
2023-09-25,92.74
2023-09-22,93.68
2023-09-21,93.1
2023-09-20,95.16
2023-09-19,95.29
2023-09-18,96.76
2023-09-15,96.23
2023-09-14,97.16
2023-09-13,96.93
2023-09-12,96.24
2023-09-11,95.67
2023-09-08,95.28
2023-09-07,95.1
