,Close
2024-05-13,3.14
2024-05-10,3.03
2024-05-09,3.06
2024-05-08,3.08
2024-05-07,3.13
2024-05-06,3.18
2024-05-03,3.12
2024-05-02,3.05
2024-05-01,3.05
2024-04-30,2.94
2024-04-29,3.17
2024-04-26,3.02
2024-04-25,3.02
2024-04-24,3.16
2024-04-23,3.16
2024-04-22,3.13
2024-04-19,3.0899
2024-04-18,3.06
2024-04-17,3.1
2024-04-16,3.15
2024-04-15,3.18
2024-04-12,3.21
2024-04-11,3.34
2024-04-10,3.34
2024-04-09,3.45
2024-04-08,3.38
2024-04-05,3.49
2024-04-04,3.55
2024-04-03,3.57
2024-04-02,3.69
2024-04-01,3.83
2024-03-28,3.88
2024-03-27,3.9
2024-03-26,3.86
2024-03-25,3.89
2024-03-22,3.88
2024-03-21,3.88
2024-03-20,3.87
2024-03-19,3.99
2024-03-18,4.03
2024-03-15,4.05
2024-03-14,4.08
2024-03-13,4.14
2024-03-12,4.11
2024-03-11,4.17
2024-03-08,4.16
2024-03-07,4.18
2024-03-06,4.19
2024-03-05,4.17
2024-03-04,4.17
2024-03-01,4.27
2024-02-29,4.42
2024-02-28,4.43
2024-02-27,4.69
2024-02-26,4.73
2024-02-23,4.76
2024-02-22,4.73
2024-02-21,4.68
2024-02-20,4.73
2024-02-16,4.8
2024-02-15,4.8
2024-02-14,4.81
2024-02-13,4.77
2024-02-12,5.03
2024-02-09,4.9
2024-02-08,4.99
2024-02-07,5.07
2024-02-06,5.11
2024-02-05,5.14
2024-02-02,5.17
2024-02-01,5.23
2024-01-31,5.09
2024-01-30,5.11
2024-01-29,5.28
2024-01-26,5.34
2024-01-25,5.37
2024-01-24,5.42
2024-01-23,5.44
2024-01-22,5.42
2024-01-19,5.42
2024-01-18,5.36
2024-01-17,5.26
2024-01-16,5.17
2024-01-12,5.21
2024-01-11,5.24
2024-01-10,5.37
2024-01-09,5.4
2024-01-08,5.48
2024-01-05,5.46
2024-01-04,5.43
2024-01-03,5.44
2024-01-02,5.49
2023-12-29,5.47
2023-12-28,5.53
2023-12-27,5.48
2023-12-26,5.5
2023-12-22,5.47
2023-12-21,5.48
2023-12-20,5.23
2023-12-19,5.45
2023-12-18,5.23
2023-12-15,5.4
2023-12-14,5.69
2023-12-13,5.43
