,Close
2024-05-13,557.39
2024-05-10,556.71
2024-05-09,549.88
2024-05-08,550.49
2024-05-07,549.61
2024-05-06,545.54
2024-05-03,536.94
2024-05-02,523.38
2024-05-01,522.18
2024-04-30,530.59
2024-04-29,544.76
2024-04-26,543.66
2024-04-25,530.11
2024-04-24,527.52
2024-04-23,527.5
2024-04-22,515.49
2024-04-19,510.71
2024-04-18,519.71
2024-04-17,527.58
2024-04-16,541.09
2024-04-15,543.91
2024-04-12,557.16
2024-04-11,561.97
2024-04-10,561.23
2024-04-09,568.99
2024-04-08,576.36
2024-04-05,575.45
2024-04-04,567.11
2024-04-03,578.87
2024-04-02,569.82
2024-04-01,576.89
2024-03-28,571.5
2024-03-27,573.35
2024-03-26,584.32
2024-03-25,584.32
2024-03-22,594.2
2024-03-21,602.01
2024-03-20,589.78
2024-03-19,584.71
2024-03-18,560.63
2024-03-15,550.03
2024-03-14,559.31
2024-03-13,561.2
2024-03-12,576.72
2024-03-11,565.32
2024-03-08,571.29
2024-03-07,583.35
2024-03-06,575.97
2024-03-05,565.26
2024-03-04,594.32
2024-03-01,591.35
2024-02-29,573.73
2024-02-28,570.28
2024-02-27,574.0
2024-02-26,575.7
2024-02-23,575.65
2024-02-22,580.9
2024-02-21,543.57
2024-02-20,547.98
2024-02-16,552.91
2024-02-15,557.83
2024-02-14,562.73
2024-02-13,548.53
2024-02-12,568.93
2024-02-09,575.3
2024-02-08,570.69
2024-02-07,554.28
2024-02-06,542.43
2024-02-05,559.14
2024-02-02,552.05
2024-02-01,540.0
2024-01-31,533.35
2024-01-30,543.18
2024-01-29,539.9
2024-01-26,528.13
2024-01-25,536.68
2024-01-24,540.46
2024-01-23,548.9
2024-01-22,541.71
2024-01-19,517.31
2024-01-18,494.34
2024-01-17,507.87
2024-01-16,509.68
2024-01-12,494.4
2024-01-11,498.46
2024-01-10,505.18
2024-01-09,501.87
2024-01-08,499.98
2024-01-05,484.81
2024-01-04,490.18
2024-01-03,492.4
2024-01-02,498.97
2023-12-29,514.91
2023-12-28,517.41
2023-12-27,518.1
2023-12-26,520.25
2023-12-22,524.46
2023-12-21,559.96
2023-12-20,551.72
2023-12-19,558.65
2023-12-18,559.69
2023-12-15,556.27
2023-12-14,551.45
2023-12-13,568.09
2023-12-12,567.06
2023-12-11,556.02
2023-12-08,535.93
2023-12-07,534.15
2023-12-06,527.49
2023-12-05,535.71
2023-12-04,531.2
2023-12-01,545.96
2023-11-30,543.23
2023-11-29,552.46
2023-11-28,543.73
2023-11-27,543.53
2023-11-24,542.69
2023-11-22,541.03
2023-11-21,540.38
2023-11-20,541.52
2023-11-17,534.78
2023-11-16,533.45
2023-11-15,529.32
2023-11-14,538.32
2023-11-13,522.88
2023-11-10,518.83
2023-11-09,505.17
2023-11-08,506.16
2023-11-07,499.02
2023-11-06,489.94
2023-11-03,487.94
2023-11-02,478.64
2023-11-01,475.38
2023-10-31,469.44
2023-10-30,460.94
2023-10-27,457.0
2023-10-26,453.54
2023-10-25,455.26
2023-10-24,468.03
2023-10-23,467.82
2023-10-20,467.64
2023-10-19,482.37
2023-10-18,485.73
2023-10-17,492.05
2023-10-16,491.96
2023-10-13,489.67
2023-10-12,496.23
2023-10-11,494.95
2023-10-10,490.11
2023-10-09,479.92
2023-10-06,473.26
2023-10-05,459.75
2023-10-04,461.32
2023-10-03,450.72
2023-10-02,463.82
2023-09-29,458.97
2023-09-28,460.71
2023-09-27,446.71
2023-09-26,444.35
2023-09-25,447.83
2023-09-22,446.85
2023-09-21,444.27
2023-09-20,453.28
2023-09-19,460.02
2023-09-18,460.01
2023-09-15,451.93
2023-09-14,466.15
2023-09-13,466.86
2023-09-12,454.36
2023-09-11,461.82
2023-09-08,459.14
2023-09-07,458.09
2023-09-06,465.69
2023-09-05,466.85
2023-09-01,460.45
2023-08-31,458.89
2023-08-30,457.28
2023-08-29,451.57
2023-08-28,443.68
2023-08-25,442.24
2023-08-24,435.86
2023-08-23,448.24
2023-08-22,436.39
2023-08-21,436.47
2023-08-18,426.02
2023-08-17,424.1
2023-08-16,428.21
2023-08-15,436.74
2023-08-14,434.85
2023-08-11,428.46
2023-08-10,431.39
2023-08-09,428.96
2023-08-08,435.99
2023-08-07,444.0
2023-08-04,441.42
2023-08-03,440.12
2023-08-02,441.18
2023-08-01,453.51
2023-07-31,451.8
2023-07-28,450.9
2023-07-27,448.74
2023-07-26,449.33
2023-07-25,456.45
2023-07-24,450.75
2023-07-21,454.0
2023-07-20,451.71
2023-07-19,457.33
2023-07-18,462.93
2023-07-17,461.18
2023-07-14,454.11
2023-07-13,448.84
2023-07-12,441.35
2023-07-11,438.7
2023-07-10,445.72
2023-07-07,431.29
2023-07-06,431.11
2023-07-05,432.74
2023-07-03,434.01
2023-06-30,435.41
2023-06-29,427.9
2023-06-28,427.15
2023-06-27,426.78
2023-06-26,417.21
2023-06-23,419.56
2023-06-22,426.13
2023-06-21,426.34
2023-06-20,435.5
2023-06-16,441.19
2023-06-15,446.37
2023-06-14,446.05
2023-06-13,449.98
2023-06-12,446.04
2023-06-09,438.78
2023-06-08,437.69
2023-06-07,435.32
2023-06-06,443.84
2023-06-05,450.16
2023-06-02,449.36
2023-06-01,454.55
2023-05-31,454.96
2023-05-30,464.83
2023-05-26,444.73
2023-05-25,434.2
2023-05-24,395.39
2023-05-23,393.09
2023-05-22,401.68
2023-05-19,408.5
2023-05-18,409.71
2023-05-17,377.08
2023-05-16,375.14
2023-05-15,373.28
2023-05-12,368.84
2023-05-11,367.96
2023-05-10,370.12
2023-05-09,366.95
2023-05-08,371.74
2023-05-05,371.56
2023-05-04,366.62
2023-05-03,368.0
2023-05-02,368.83
2023-05-01,371.62
2023-04-28,371.32
2023-04-27,368.39
2023-04-26,365.1
2023-04-25,364.53
2023-04-24,375.67
2023-04-21,377.26
2023-04-20,377.56
2023-04-19,378.77
2023-04-18,380.43
2023-04-17,380.19
2023-04-14,381.68
2023-04-13,381.56
2023-04-12,376.52
2023-04-11,379.4
2023-04-10,379.99
2023-04-06,375.92
2023-04-05,378.36
2023-04-04,384.93
2023-04-03,388.94
2023-03-31,386.25
2023-03-30,375.94
2023-03-29,375.04
2023-03-28,369.87
2023-03-27,373.92
2023-03-24,376.56
2023-03-23,379.4
2023-03-22,371.35
2023-03-21,374.36
2023-03-20,375.59
2023-03-17,372.53
2023-03-16,374.0
2023-03-15,366.82
2023-03-14,369.84
2023-03-13,357.29
2023-03-10,355.23
2023-03-09,361.92
2023-03-08,369.02
2023-03-07,361.28
2023-03-06,368.77
2023-03-03,367.5
2023-03-02,363.38
2023-03-01,361.02
2023-02-28,363.76
2023-02-27,363.36
2023-02-24,362.28
2023-02-23,365.48
2023-02-22,355.06
2023-02-21,352.35
2023-02-17,354.45
2023-02-16,359.71
2023-02-15,379.48
2023-02-14,375.94
2023-02-13,361.76
2023-02-10,359.11
2023-02-09,363.71
2023-02-08,360.6
2023-02-07,366.75
2023-02-06,359.97
2023-02-03,361.44
2023-02-02,368.59
2023-02-01,367.05
