,Close
2024-05-13,182.83
2024-05-10,179.75
2024-05-09,179.85
2024-05-08,178.52
2024-05-07,184.12
2024-05-06,181.77
2024-05-03,183.52
2024-05-02,183.55
2024-05-01,172.77
2024-04-30,172.3
2024-04-29,177.07
2024-04-26,179.45
2024-04-25,198.41
2024-04-24,199.01
2024-04-23,199.44
2024-04-22,194.27
2024-04-19,191.55
2024-04-18,193.61
2024-04-17,195.07
2024-04-16,194.85
2024-04-15,191.84
2024-04-12,206.53
2024-04-11,214.65
2024-04-10,204.74
2024-04-09,202.92
2024-04-08,198.61
2024-04-05,196.62
2024-04-04,192.32
2024-04-03,195.24
2024-04-02,196.02
2024-04-01,193.37
2024-03-28,195.11
2024-03-27,193.14
2024-03-26,192.0
2024-03-25,193.265
2024-03-22,192.53
2024-03-21,197.26
2024-03-20,196.22
2024-03-19,196.43
2024-03-18,197.01
2024-03-15,194.43
2024-03-14,202.7
2024-03-13,207.73
2024-03-12,217.36
2024-03-11,215.63
2024-03-08,208.8
2024-03-07,202.96
2024-03-06,198.14
2024-03-05,196.33
2024-03-04,207.6
2024-03-01,209.2
2024-02-29,207.42
2024-02-28,207.05
2024-02-27,205.82
2024-02-26,204.66
2024-02-23,204.44
2024-02-22,205.43
2024-02-21,204.11
2024-02-20,204.78
2024-02-16,207.84
2024-02-15,213.12
2024-02-14,215.89
2024-02-13,210.07
2024-02-12,216.17
2024-02-09,218.76
2024-02-08,212.29
2024-02-07,209.46
2024-02-06,211.26
2024-02-05,215.05
2024-02-02,217.39
2024-02-01,254.9
2024-01-31,249.77
2024-01-30,257.43
2024-01-29,255.67
2024-01-26,247.79
2024-01-25,244.35
2024-01-24,243.08
2024-01-23,248.45
2024-01-22,245.59
2024-01-19,242.96
2024-01-18,239.42
2024-01-17,236.97
2024-01-16,240.56
2024-01-12,237.0
2024-01-11,242.16
2024-01-10,244.21
2024-01-09,235.3
2024-01-08,235.59
2024-01-05,226.1
2024-01-04,222.82
2024-01-03,220.05
2024-01-02,226.67
2023-12-29,237.86
2023-12-28,241.22
2023-12-27,243.06
2023-12-26,245.05
2023-12-22,240.8
2023-12-21,245.03
2023-12-20,237.6
2023-12-19,233.07
2023-12-18,228.56
2023-12-15,229.56
2023-12-14,221.92
2023-12-13,215.14
2023-12-12,202.0
2023-12-11,198.59
2023-12-08,192.36
2023-12-07,187.85
2023-12-06,188.72
2023-12-05,190.7
2023-12-04,194.43
2023-12-01,195.11
2023-11-30,190.95
2023-11-29,195.55
2023-11-28,188.41
2023-11-27,180.32
2023-11-24,181.59
2023-11-22,180.55
2023-11-21,185.07
2023-11-20,186.1
2023-11-17,184.99
2023-11-16,186.5
2023-11-15,187.32
2023-11-14,186.2
2023-11-13,175.04
2023-11-10,176.29
2023-11-09,170.84
2023-11-08,174.48
2023-11-07,178.93
2023-11-06,173.55
2023-11-03,176.9
2023-11-02,181.4
2023-11-01,177.85
2023-10-31,180.64
2023-10-30,177.99
2023-10-27,176.46
2023-10-26,176.02
2023-10-25,178.59
2023-10-24,190.6
2023-10-23,185.96
2023-10-20,187.07
2023-10-19,192.4
2023-10-18,194.01
2023-10-17,197.79
2023-10-16,196.27
2023-10-13,188.31
2023-10-12,186.4
2023-10-11,199.45
2023-10-10,206.0
2023-10-09,202.58
2023-10-06,199.21
2023-10-05,187.85
2023-10-04,189.84
2023-10-03,190.62
2023-10-02,197.46
2023-09-29,201.51
2023-09-28,196.94
2023-09-27,197.52
2023-09-26,191.4
2023-09-25,196.46
2023-09-22,195.46
2023-09-21,189.95
2023-09-20,200.82
2023-09-19,205.36
2023-09-18,204.88
2023-09-15,203.03
2023-09-14,209.4
2023-09-13,208.89
2023-09-12,211.22
2023-09-11,214.03
2023-09-08,206.6
2023-09-07,206.92
2023-09-06,206.4
2023-09-05,205.91
2023-09-01,204.45
2023-08-31,204.06
2023-08-30,202.26
2023-08-29,198.9
2023-08-28,191.4
2023-08-25,191.02
2023-08-24,184.02
2023-08-23,191.69
2023-08-22,190.04
2023-08-21,184.15
2023-08-18,186.3
2023-08-17,185.34
2023-08-16,186.97
2023-08-15,193.13
2023-08-14,199.87
2023-08-11,197.66
2023-08-10,197.47
2023-08-09,192.34
2023-08-08,196.13
2023-08-07,193.52
2023-08-04,198.84
2023-08-03,169.65
2023-08-02,169.7
2023-08-01,181.65
2023-07-31,181.94
2023-07-28,174.21
2023-07-27,170.56
2023-07-26,176.65
2023-07-25,177.93
2023-07-24,173.09
2023-07-21,174.42
2023-07-20,175.64
2023-07-19,188.58
2023-07-18,187.45
2023-07-17,180.43
2023-07-14,178.97
2023-07-13,177.96
2023-07-12,175.34
2023-07-11,174.52
2023-07-10,173.49
2023-07-07,169.45
2023-07-06,165.84
2023-07-05,172.76
2023-07-03,167.59
2023-06-30,167.81
2023-06-29,161.64
2023-06-28,166.89
2023-06-27,161.88
2023-06-26,158.54
2023-06-23,162.41
2023-06-22,169.91
2023-06-21,168.38
2023-06-20,175.83
2023-06-16,177.8
2023-06-15,182.19
2023-06-14,181.23
2023-06-13,181.685
2023-06-12,175.84
2023-06-09,171.99
2023-06-08,170.39
2023-06-07,171.34
2023-06-06,184.0
2023-06-05,183.27
2023-06-02,183.9
2023-06-01,177.26
2023-05-31,180.79
