,Close
2024-05-13,171.89
2024-05-10,168.47
2024-05-09,171.97
2024-05-08,174.72
2024-05-07,177.81
2024-05-06,184.76
2024-05-03,181.19
2024-05-02,180.01
2024-05-01,179.99
2024-04-30,183.28
2024-04-29,194.05
2024-04-26,168.29
2024-04-25,170.18
2024-04-24,162.13
2024-04-23,144.68
2024-04-22,142.05
2024-04-19,147.0101
2024-04-18,149.93
2024-04-17,155.45
2024-04-16,157.11
2024-04-15,161.48
2024-04-12,171.05
2024-04-11,174.6
2024-04-10,171.76
2024-04-09,176.88
2024-04-08,172.98
2024-04-05,164.9
2024-04-04,171.11
2024-04-03,168.38
2024-04-02,166.63
2024-04-01,175.22
2024-03-28,175.79
2024-03-27,179.83
2024-03-26,177.67
2024-03-25,172.63
2024-03-22,170.83
2024-03-21,172.82
2024-03-20,175.66
2024-03-19,171.32
2024-03-18,173.8
2024-03-15,163.57
2024-03-14,162.5
2024-03-13,169.48
2024-03-12,177.54
2024-03-11,177.77
2024-03-08,175.34
2024-03-07,178.65
2024-03-06,176.54
2024-03-05,180.74
2024-03-04,188.14
2024-03-01,202.64
2024-02-29,201.88
2024-02-28,202.04
2024-02-27,199.73
2024-02-26,199.4
2024-02-23,191.97
2024-02-22,197.41
2024-02-21,194.77
2024-02-20,193.76
2024-02-16,199.95
2024-02-15,200.45
2024-02-14,188.71
2024-02-13,184.02
2024-02-12,188.13
2024-02-09,193.57
2024-02-08,189.56
2024-02-07,187.58
2024-02-06,185.1
2024-02-05,181.06
2024-02-02,187.91
2024-02-01,188.86
2024-01-31,187.29
2024-01-30,191.59
2024-01-29,190.93
2024-01-26,183.25
2024-01-25,182.63
2024-01-24,207.83
2024-01-23,209.14
2024-01-22,208.8
2024-01-19,212.19
2024-01-18,211.88
2024-01-17,215.55
2024-01-16,219.91
2024-01-12,218.89
2024-01-11,227.22
2024-01-10,233.94
2024-01-09,234.96
2024-01-08,240.45
2024-01-05,237.49
2024-01-04,237.93
2024-01-03,238.45
2024-01-02,248.42
2023-12-29,248.48
2023-12-28,253.18
2023-12-27,261.44
2023-12-26,256.61
2023-12-22,252.54
2023-12-21,254.5
2023-12-20,247.14
