,Close
2024-05-13,87.53
2024-05-10,87.26
2024-05-09,88.67
2024-05-08,86.02
2024-05-07,89.64
2024-05-06,91.36
2024-05-03,88.59
2024-05-02,88.12
2024-05-01,85.41
2024-04-30,82.85
2024-04-29,84.5
2024-04-26,84.73
2024-04-25,83.34
2024-04-24,83.79
2024-04-23,81.07
2024-04-22,77.84
2024-04-19,77.27
2024-04-18,80.81
2024-04-17,80.13
2024-04-16,82.13
2024-04-15,80.99
2024-04-12,86.37
2024-04-11,87.7
2024-04-10,86.44
2024-04-09,86.84
2024-04-08,86.68
2024-04-05,85.83
2024-04-04,84.56
2024-04-03,86.94
2024-04-02,87.09
2024-04-01,87.31
2024-03-28,87.42
2024-03-27,87.21
2024-03-26,87.05
2024-03-25,87.55
2024-03-22,85.06
2024-03-21,85.06
2024-03-20,83.47
2024-03-19,79.76
2024-03-18,78.35
2024-03-15,76.72
2024-03-14,77.53
2024-03-13,80.16
2024-03-12,80.43
2024-03-11,81.45
2024-03-08,81.59
2024-03-07,81.83
2024-03-06,82.18
2024-03-05,81.45
2024-03-04,83.45
2024-03-01,83.89
2024-02-29,85.43
2024-02-28,84.9
2024-02-27,85.6
2024-02-26,82.19
2024-02-23,81.44
2024-02-22,83.5
2024-02-21,82.08
2024-02-20,82.56
2024-02-16,88.93
2024-02-15,75.71
2024-02-14,74.31
2024-02-13,72.94
2024-02-12,73.91
2024-02-09,71.31
2024-02-08,70.17
2024-02-07,69.6
2024-02-06,68.6
2024-02-05,67.5
2024-02-02,70.0
2024-02-01,67.21
2024-01-31,68.43
2024-01-30,69.28
2024-01-29,71.51
2024-01-26,68.01
2024-01-25,69.12
2024-01-24,69.65
2024-01-23,70.18
2024-01-22,69.39
2024-01-19,66.85
2024-01-18,65.05
2024-01-17,64.5
2024-01-16,63.76
2024-01-12,66.96
2024-01-11,68.08
2024-01-10,68.48
2024-01-09,68.45
2024-01-08,68.99
2024-01-05,67.64
2024-01-04,68.4
2024-01-03,69.32
2024-01-02,70.59
2023-12-29,71.96
2023-12-28,73.4
2023-12-27,74.08
2023-12-26,73.59
2023-12-22,73.43
2023-12-21,76.38
2023-12-20,75.47
2023-12-19,77.65
2023-12-18,75.63
2023-12-15,74.89
2023-12-14,76.08
2023-12-13,74.01
2023-12-12,71.35
2023-12-11,71.63
2023-12-08,70.63
2023-12-07,68.78
2023-12-06,68.31
2023-12-05,68.33
2023-12-04,68.76
2023-12-01,71.6
2023-11-30,70.46
2023-11-29,70.37
2023-11-28,69.03
2023-11-27,69.19
2023-11-24,67.27
2023-11-22,66.83
2023-11-21,65.85
2023-11-20,67.29
2023-11-17,66.47
2023-11-16,66.3
2023-11-15,68.05
2023-11-14,67.63
2023-11-13,63.46
2023-11-10,64.01
2023-11-09,76.81
2023-11-08,78.84
2023-11-07,77.7
2023-11-06,77.47
2023-11-03,79.08
2023-11-02,75.68
2023-11-01,70.76
2023-10-31,70.96
2023-10-30,67.95
2023-10-27,66.86
2023-10-26,66.22
2023-10-25,71.67
2023-10-24,76.52
2023-10-23,73.64
2023-10-20,74.06
2023-10-19,75.87
2023-10-18,76.77
2023-10-17,79.59
2023-10-16,80.87
2023-10-13,80.24
2023-10-12,84.49
2023-10-11,84.77
2023-10-10,85.16
2023-10-09,83.96
2023-10-06,82.15
2023-10-05,78.16
2023-10-04,79.37
2023-10-03,76.4
2023-10-02,78.31
2023-09-29,78.15
2023-09-28,77.69
2023-09-27,75.43
2023-09-26,74.37
2023-09-25,75.1
2023-09-22,76.35
2023-09-21,75.72
2023-09-20,78.29
2023-09-19,79.06
2023-09-18,80.71
2023-09-15,83.38
2023-09-14,85.37
2023-09-13,85.33
2023-09-12,85.8
2023-09-11,86.53
2023-09-08,83.89
2023-09-07,84.31
2023-09-06,83.47
2023-09-05,81.42
2023-09-01,79.93
2023-08-31,80.03
2023-08-30,80.28
2023-08-29,78.8
2023-08-28,76.21
2023-08-25,75.91
2023-08-24,74.51
2023-08-23,77.67
2023-08-22,74.59
