,Close
2024-05-13,143.95
2024-05-10,145.88
2024-05-09,145.68
2024-05-08,145.97
2024-05-07,148.33
2024-05-06,148.34
2024-05-03,145.88
2024-05-02,143.07
2024-05-01,142.74
2024-04-30,142.81
2024-04-29,144.27
2024-04-26,144.47
2024-04-25,143.43
2024-04-24,142.83
2024-04-23,141.72
2024-04-22,139.96
2024-04-19,140.57
2024-04-18,140.64
2024-04-17,143.16
2024-04-16,145.45
2024-04-15,145.3
2024-04-12,147.27
2024-04-11,151.34
2024-04-10,152.12
2024-04-09,154.7
2024-04-08,153.65
2024-04-05,151.04
2024-04-04,149.59
2024-04-03,151.73
2024-04-02,149.57
2024-04-01,150.0
2024-03-28,148.49
2024-03-27,146.92
2024-03-26,146.67
2024-03-25,146.14
2024-03-22,152.46
2024-03-21,152.17
2024-03-20,148.43
2024-03-19,145.2
2024-03-18,144.62
2024-03-15,143.91
2024-03-14,143.77
2024-03-13,144.89
2024-03-12,144.53
2024-03-11,145.87
2024-03-08,143.73
2024-03-07,145.01
2024-03-06,143.9
2024-03-05,143.94
2024-03-04,146.33
2024-03-01,150.34
2024-02-29,146.93
2024-02-28,147.48
2024-02-27,147.94
2024-02-26,149.71
2024-02-23,151.01
2024-02-22,152.44
2024-02-21,151.11
2024-02-20,151.94
2024-02-16,153.38
2024-02-15,156.96
2024-02-14,155.72
2024-02-13,153.49
2024-02-12,155.27
2024-02-09,154.91
2024-02-08,169.6
2024-02-07,169.57
2024-02-06,166.67
2024-02-05,164.01
2024-02-02,167.0
2024-02-01,166.33
2024-01-31,164.93
2024-01-30,166.94
2024-01-29,168.02
2024-01-26,167.39
2024-01-25,168.5
2024-01-24,165.9
2024-01-23,165.15
2024-01-22,164.43
2024-01-19,163.1
2024-01-18,159.86
2024-01-17,160.38
2024-01-16,161.88
2024-01-12,161.68
2024-01-11,161.54
2024-01-10,159.21
2024-01-09,159.22
2024-01-08,158.54
2024-01-05,158.21
2024-01-04,158.86
2024-01-03,158.4
2024-01-02,159.26
2023-12-29,160.95
2023-12-28,161.47
2023-12-27,160.99
2023-12-26,161.62
2023-12-22,161.95
2023-12-21,160.39
2023-12-20,157.96
2023-12-19,159.4
2023-12-18,158.57
2023-12-15,160.2
2023-12-14,163.89
2023-12-13,163.12
2023-12-12,157.2
2023-12-11,152.56
2023-12-08,155.32
2023-12-07,154.21
2023-12-06,157.32
2023-12-05,156.76
2023-12-04,157.56
2023-12-01,157.84
2023-11-30,158.2
2023-11-29,157.01
2023-11-28,156.68
2023-11-27,156.27
2023-11-24,156.32
2023-11-22,155.88
2023-11-21,155.74
2023-11-20,155.88
2023-11-17,154.39
2023-11-16,154.85
2023-11-15,153.94
2023-11-14,153.4
2023-11-13,150.09
2023-11-10,147.88
2023-11-09,146.32
2023-11-08,143.47
2023-11-07,136.36
2023-11-06,134.37
2023-11-03,138.91
2023-11-02,137.5
2023-11-01,133.81
2023-10-31,133.75
2023-10-30,133.35
2023-10-27,134.43
2023-10-26,133.04
2023-10-25,137.07
2023-10-24,142.69
2023-10-23,142.17
2023-10-20,140.58
2023-10-19,140.28
2023-10-18,142.5
2023-10-17,144.86
2023-10-16,143.59
2023-10-13,142.83
2023-10-12,141.62
2023-10-11,144.75
2023-10-10,145.24
2023-10-09,143.13
2023-10-06,140.91
2023-10-05,140.2
2023-10-04,139.63
2023-10-03,137.56
2023-10-02,139.0
2023-09-29,140.39
2023-09-28,140.2
2023-09-27,137.78
2023-09-26,137.38
2023-09-25,138.75
2023-09-22,138.24
2023-09-21,135.94
2023-09-20,140.72
2023-09-19,143.91
2023-09-18,141.33
2023-09-15,142.91
2023-09-14,144.4
2023-09-13,144.36
2023-09-12,143.19
2023-09-11,145.38
2023-09-08,142.77
2023-09-07,142.23
2023-09-06,140.97
2023-09-05,141.18
2023-09-01,141.83
2023-08-31,142.2
2023-08-30,141.83
2023-08-29,141.39
2023-08-28,140.8
2023-08-25,141.42
2023-08-24,139.66
2023-08-23,144.55
2023-08-22,140.48
2023-08-21,139.56
2023-08-18,137.46
2023-08-17,138.08
2023-08-16,140.27
2023-08-15,139.51
2023-08-14,142.38
2023-08-11,140.2
2023-08-10,138.46
2023-08-09,139.4
2023-08-08,140.14
2023-08-07,141.18
2023-08-04,142.18
2023-08-03,145.75
2023-08-02,147.22
2023-08-01,151.79
2023-07-31,152.94
2023-07-28,151.6
2023-07-27,149.85
2023-07-26,150.25
2023-07-25,151.03
2023-07-24,150.28
2023-07-21,149.96
2023-07-20,151.64
2023-07-19,152.01
2023-07-18,153.55
2023-07-17,152.71
2023-07-14,150.0
2023-07-13,149.29
2023-07-12,149.92
2023-07-11,150.75
2023-07-10,143.94
2023-07-07,143.19
2023-07-06,142.88
2023-07-05,145.04
2023-07-03,147.73
2023-06-30,147.16
2023-06-29,145.47
2023-06-28,145.98
2023-06-27,146.34
2023-06-26,143.51
2023-06-23,141.85
2023-06-22,141.18
2023-06-21,140.46
2023-06-20,139.03
2023-06-16,138.64
2023-06-15,137.2
2023-06-14,136.63
2023-06-13,136.47
2023-06-12,136.0
2023-06-09,134.03
2023-06-08,133.12
2023-06-07,132.25
2023-06-06,135.68
2023-06-05,136.72
2023-06-02,137.52
2023-06-01,137.59
