,Close
2024-05-13,187.82
2024-05-10,187.05
2024-05-09,185.32
2024-05-08,183.95
2024-05-07,182.67
2024-05-06,181.67
2024-05-03,178.91
2024-05-02,175.8
2024-05-01,175.2
2024-04-30,176.42
2024-04-29,179.29
2024-04-26,177.48
2024-04-25,175.25
2024-04-24,174.81
2024-04-23,165.47
2024-04-22,163.43
2024-04-19,159.68
2024-04-18,163.67
2024-04-17,165.7
2024-04-16,167.59
2024-04-15,166.35
2024-04-12,166.33
2024-04-11,171.2
2024-04-10,168.92
2024-04-09,173.46
2024-04-08,169.46
2024-04-05,167.5
2024-04-04,168.53
2024-04-03,170.34
2024-04-02,170.36
2024-04-01,173.17
2024-03-28,174.21
2024-03-27,172.87
2024-03-26,167.91
2024-03-25,170.85
2024-03-22,172.48
2024-03-21,172.59
2024-03-20,169.98
2024-03-19,166.76
2024-03-18,169.21
2024-03-15,172.52
2024-03-14,171.14
2024-03-13,172.68
2024-03-12,174.8
2024-03-11,174.19
2024-03-08,172.3
2024-03-07,175.27
2024-03-06,171.87
2024-03-05,170.64
2024-03-04,172.44
2024-03-01,171.05
2024-02-29,167.33
2024-02-28,163.04
2024-02-27,164.94
2024-02-26,164.3
2024-02-23,163.69
2024-02-22,165.43
2024-02-21,164.08
2024-02-20,162.74
2024-02-16,160.38
2024-02-15,160.71
2024-02-14,157.87
2024-02-13,156.85
2024-02-12,161.08
2024-02-09,162.4
2024-02-08,160.21
2024-02-07,158.77
2024-02-06,158.37
2024-02-05,158.9
2024-02-02,159.2
2024-02-01,159.69
2024-01-31,160.12
2024-01-30,162.05
2024-01-29,166.04
2024-01-26,164.09
2024-01-25,167.42
2024-01-24,170.07
2024-01-23,174.34
2024-01-22,174.83
2024-01-19,173.65
2024-01-18,166.91
2024-01-17,162.415
2024-01-16,163.88
2024-01-12,164.87
2024-01-11,165.6
2024-01-10,167.25
2024-01-09,168.63
2024-01-08,168.54
2024-01-05,165.1
2024-01-04,164.465
2024-01-03,166.74
2024-01-02,169.26
2023-12-29,170.46
2023-12-28,171.72
2023-12-27,171.23
2023-12-26,170.81
2023-12-22,168.24
2023-12-21,166.81
2023-12-20,165.18
2023-12-19,168.5
2023-12-18,167.42
2023-12-15,168.64
2023-12-14,168.78
2023-12-13,161.81
2023-12-12,157.92
2023-12-11,159.97
2023-12-08,157.03
2023-12-07,157.68
2023-12-06,156.05
2023-12-05,157.25
2023-12-04,157.42
2023-12-01,155.21
2023-11-30,152.71
2023-11-29,153.2
2023-11-28,152.9
2023-11-27,152.6
2023-11-24,153.59
2023-11-22,153.93
2023-11-21,153.43
2023-11-20,155.54
2023-11-17,154.62
2023-11-16,151.89
2023-11-15,151.87
2023-11-14,149.93
2023-11-13,145.87
2023-11-10,147.19
2023-11-09,143.27
2023-11-08,145.22
2023-11-07,146.59
2023-11-06,147.5
2023-11-03,150.23
2023-11-02,147.31
2023-11-01,143.17
2023-10-31,142.01
2023-10-30,140.5
2023-10-27,143.12
2023-10-26,144.01
2023-10-25,141.79
2023-10-24,146.92
2023-10-23,146.32
2023-10-20,147.81
2023-10-19,150.94
2023-10-18,151.82
2023-10-17,154.26
2023-10-16,154.3
2023-10-13,152.75
2023-10-12,155.0
2023-10-11,157.33
2023-10-10,157.66
2023-10-09,156.72
2023-10-06,157.0
2023-10-05,155.11
2023-10-04,157.97
2023-10-03,157.25
2023-10-02,159.95
2023-09-29,159.01
2023-09-28,159.09
2023-09-27,158.14
2023-09-26,157.96
2023-09-25,160.9
2023-09-22,160.31
2023-09-21,160.4
2023-09-20,162.1
2023-09-19,163.14
2023-09-18,162.83
2023-09-15,162.62
2023-09-14,166.05
2023-09-13,164.36
2023-09-12,163.49
2023-09-11,165.84
2023-09-08,164.66
2023-09-07,164.71
2023-09-06,168.05
2023-09-05,169.74
2023-09-01,169.83
2023-08-31,168.06
2023-08-30,169.23
2023-08-29,170.69
2023-08-28,168.7
2023-08-25,167.81
2023-08-24,165.59
2023-08-23,169.83
2023-08-22,167.11
2023-08-21,167.95
2023-08-18,166.49
2023-08-17,165.76
2023-08-16,165.72
2023-08-15,168.16
2023-08-14,170.48
2023-08-11,166.2
2023-08-10,167.56
2023-08-09,167.27
2023-08-08,166.73
2023-08-07,168.96
2023-08-04,168.44
2023-08-03,171.8
2023-08-02,172.44
2023-08-01,178.37
2023-07-31,180.0
2023-07-28,178.37
2023-07-27,177.72
2023-07-26,176.0
2023-07-25,186.08
2023-07-24,183.89
2023-07-21,184.32
2023-07-20,179.92
2023-07-19,183.67
2023-07-18,183.68
2023-07-17,183.4
2023-07-14,180.85
2023-07-13,183.12
2023-07-12,182.37
2023-07-11,178.82
2023-07-10,179.44
2023-07-07,173.7
2023-07-06,174.82
2023-07-05,176.53
2023-07-03,179.76
2023-06-30,180.02
2023-06-29,176.79
2023-06-28,174.96
2023-06-27,176.31
2023-06-26,168.745
2023-06-23,167.68
2023-06-22,172.63
2023-06-21,170.48
2023-06-20,174.36
2023-06-16,176.76
2023-06-15,178.09
2023-06-14,177.12
2023-06-13,177.41
2023-06-12,174.04
2023-06-09,170.59
2023-06-08,172.23
2023-06-07,172.0
2023-06-06,170.36
2023-06-05,170.26
2023-06-02,175.23
2023-06-01,175.81
2023-05-31,173.88
2023-05-30,176.55
2023-05-26,176.29
2023-05-25,169.62
2023-05-24,167.07
2023-05-23,169.74
2023-05-22,170.86
2023-05-19,170.11
2023-05-18,169.81
2023-05-17,165.34
2023-05-16,163.38
2023-05-15,165.26
2023-05-12,161.88
2023-05-11,161.17
2023-05-10,163.05
2023-05-09,163.0
2023-05-08,164.22
2023-05-05,165.82
2023-05-04,162.3
2023-05-03,163.35
2023-05-02,163.94
2023-05-01,166.68
2023-04-28,167.2
2023-04-27,165.27
2023-04-26,164.46
2023-04-25,169.39
2023-04-24,175.9
2023-04-21,177.02
2023-04-20,176.62
2023-04-19,177.08
2023-04-18,180.32
2023-04-17,180.05
2023-04-14,178.98
2023-04-13,179.11
2023-04-12,177.55
2023-04-11,179.87
2023-04-10,179.42
2023-04-06,178.12
2023-04-05,177.2
2023-04-04,180.4
2023-04-03,184.16
2023-03-31,186.01
2023-03-30,184.24
2023-03-29,181.04
2023-03-28,177.49
2023-03-27,177.05
2023-03-24,179.51
2023-03-23,180.28
2023-03-22,176.32
2023-03-21,178.41
2023-03-20,179.16
2023-03-17,175.71
2023-03-16,177.13
2023-03-15,174.39
2023-03-14,175.73
2023-03-13,173.89
2023-03-10,171.64
2023-03-09,173.44
2023-03-08,176.22
2023-03-07,172.06
2023-03-06,173.05
2023-03-03,175.68
2023-03-02,174.08
2023-03-01,172.17
2023-02-28,171.45
2023-02-27,170.74
2023-02-24,169.14
2023-02-23,171.82
2023-02-22,169.8
2023-02-21,170.76
2023-02-17,175.32
2023-02-16,176.08
2023-02-15,178.5
2023-02-14,176.34
2023-02-13,176.71
2023-02-10,175.79
2023-02-09,174.99
2023-02-08,176.5
2023-02-07,183.49
2023-02-06,181.0
2023-02-03,182.29
2023-02-02,184.72
2023-02-01,182.1
2023-01-31,177.21
2023-01-30,173.13
2023-01-27,175.24
2023-01-26,174.1
2023-01-25,175.04
2023-01-24,177.04
2023-01-23,178.17
2023-01-20,173.0
2023-01-19,170.93
2023-01-18,173.76
2023-01-17,175.4
2023-01-13,179.01
2023-01-12,178.13
