,Close
2024-05-13,246.34
2024-05-10,248.31
2024-05-09,244.98
2024-05-08,244.57
2024-05-07,247.0
2024-05-06,241.86
2024-05-03,237.33
2024-05-02,233.76
2024-05-01,232.81
2024-04-30,217.96
2024-04-29,221.85
2024-04-26,221.14
2024-04-25,222.79
2024-04-24,222.25
2024-04-23,222.25
2024-04-22,223.17
2024-04-19,222.57
2024-04-18,223.33
2024-04-17,222.25
2024-04-16,222.1
2024-04-15,222.18
2024-04-12,222.53
2024-04-11,223.36
2024-04-10,225.92
2024-04-09,229.36
2024-04-08,226.38
2024-04-05,227.65
2024-04-04,226.52
2024-04-03,231.01
2024-04-02,231.99
2024-04-01,232.78
2024-03-28,235.73
2024-03-27,233.93
2024-03-26,231.21
2024-03-25,232.0
2024-03-22,234.86
2024-03-21,235.91
2024-03-20,236.4
2024-03-19,237.44
2024-03-18,235.73
2024-03-15,234.52
2024-03-14,232.85
2024-03-13,236.26
2024-03-12,238.08
2024-03-11,237.48
2024-03-08,236.53
2024-03-07,236.14
2024-03-06,235.57
2024-03-05,237.74
2024-03-04,239.93
2024-03-01,241.65
2024-02-29,241.9
2024-02-28,242.0
2024-02-27,242.92
2024-02-26,243.11
2024-02-23,244.83
2024-02-22,240.01
2024-02-21,237.67
2024-02-20,248.51
2024-02-16,244.7
2024-02-15,246.65
2024-02-14,246.14
2024-02-13,244.93
2024-02-12,247.13
2024-02-09,250.61
2024-02-08,249.26
2024-02-07,250.66
2024-02-06,248.47
2024-02-05,246.6
2024-02-02,247.78
2024-02-01,246.62
2024-01-31,241.53
2024-01-30,246.09
2024-01-29,244.57
2024-01-26,244.15
2024-01-25,243.48
2024-01-24,244.65
2024-01-23,243.84
2024-01-22,243.46
2024-01-19,240.12
2024-01-18,237.55
2024-01-17,236.67
2024-01-16,237.03
2024-01-12,236.77
2024-01-11,234.21
2024-01-10,233.96
2024-01-09,234.72
2024-01-08,232.71
2024-01-05,233.7
2024-01-04,237.95
2024-01-03,236.7
2024-01-02,237.98
2023-12-29,238.86
2023-12-28,237.61
2023-12-27,237.22
2023-12-26,237.03
2023-12-22,236.2
2023-12-21,235.01
2023-12-20,233.47
2023-12-19,234.455
2023-12-18,237.33
2023-12-15,235.0
2023-12-14,235.43
2023-12-13,247.23
2023-12-12,243.28
2023-12-11,240.11
2023-12-08,232.92
2023-12-07,233.75
2023-12-06,234.86
2023-12-05,238.6
2023-12-04,239.3
2023-12-01,242.73
2023-11-30,241.43
2023-11-29,238.26
2023-11-28,240.07
2023-11-27,241.0
2023-11-24,239.54
2023-11-22,240.03
2023-11-21,239.79
2023-11-20,239.28
2023-11-17,237.12
2023-11-16,237.55
2023-11-15,237.79
2023-11-14,238.06
2023-11-13,238.51
2023-11-10,237.93
2023-11-09,235.5
2023-11-08,236.01
2023-11-07,233.19
2023-11-06,230.81
2023-11-03,230.62
2023-11-02,229.87
2023-11-01,222.25
2023-10-31,227.36
2023-10-30,224.49
2023-10-27,223.85
2023-10-26,226.69
2023-10-25,228.13
2023-10-24,230.14
2023-10-23,230.87
2023-10-20,234.45
2023-10-19,234.45
2023-10-18,238.13
2023-10-17,239.91
2023-10-16,242.52
2023-10-13,247.6
2023-10-12,245.98
2023-10-11,245.51
2023-10-10,244.45
2023-10-09,244.07
2023-10-06,239.97
2023-10-05,238.63
2023-10-04,239.93
2023-10-03,234.75
2023-10-02,236.35
2023-09-29,236.24
2023-09-28,240.54
2023-09-27,239.63
2023-09-26,241.41
2023-09-25,242.69
2023-09-22,241.95
2023-09-21,240.93
2023-09-20,246.33
2023-09-19,246.31
2023-09-18,246.22
2023-09-15,245.65
2023-09-14,248.49
2023-09-13,245.56
2023-09-12,244.52
2023-09-11,245.01
2023-09-08,244.38
2023-09-07,245.16
2023-09-06,243.47
2023-09-05,240.61
2023-09-01,242.84
2023-08-31,242.22
2023-08-30,241.67
2023-08-29,239.14
2023-08-28,237.94
2023-08-25,237.19
2023-08-24,234.67
2023-08-23,235.35
2023-08-22,231.74
2023-08-21,232.38
2023-08-18,230.94
2023-08-17,230.68
2023-08-16,235.33
2023-08-15,234.78
2023-08-14,237.14
2023-08-11,234.67
2023-08-10,233.09
2023-08-09,235.025
2023-08-08,232.53
2023-08-07,233.53
2023-08-04,229.76
2023-08-03,230.4
2023-08-02,232.42
2023-08-01,229.22
2023-07-31,228.94
2023-07-28,232.16
2023-07-27,231.46
2023-07-26,237.01
2023-07-25,236.92
2023-07-24,234.16
2023-07-21,234.11
2023-07-20,230.86
2023-07-19,228.21
2023-07-18,228.98
2023-07-17,229.97
2023-07-14,228.79
2023-07-13,226.6
2023-07-12,226.51
2023-07-11,226.96
2023-07-10,226.98
2023-07-07,224.97
2023-07-06,227.01
2023-07-05,226.05
2023-07-03,222.5
2023-06-30,226.03
2023-06-29,223.27
2023-06-28,223.17
2023-06-27,224.63
2023-06-26,223.0
2023-06-23,224.35
2023-06-22,228.01
2023-06-21,227.22
2023-06-20,225.97
2023-06-16,224.52
2023-06-15,224.57
2023-06-14,220.28
2023-06-13,217.14
2023-06-12,219.12
2023-06-09,219.36
2023-06-08,219.91
2023-06-07,218.49
2023-06-06,221.32
2023-06-05,223.13
2023-06-02,221.37
2023-06-01,219.97
2023-05-31,219.11
2023-05-30,218.64
2023-05-26,217.07
2023-05-25,218.68
2023-05-24,216.66
2023-05-23,215.76
2023-05-22,218.25
2023-05-19,222.12
2023-05-18,220.63
2023-05-17,219.12
2023-05-16,218.11
2023-05-15,214.99
2023-05-12,215.01
2023-05-11,215.33
2023-05-10,214.47
2023-05-09,211.4
2023-05-08,210.12
2023-05-05,210.88
2023-05-04,205.76
2023-05-03,203.97
2023-05-02,188.98
2023-05-01,192.57
2023-04-28,194.11
2023-04-27,192.1
2023-04-26,190.22
2023-04-25,192.71
2023-04-24,195.8
2023-04-21,196.79
2023-04-20,194.56
2023-04-19,192.82
2023-04-18,193.14
2023-04-17,192.17
2023-04-14,191.86
2023-04-13,194.61
2023-04-12,192.17
2023-04-11,191.45
2023-04-10,190.26
2023-04-06,190.42
2023-04-05,191.46
2023-04-04,190.59
2023-04-03,191.58
2023-03-31,191.86
2023-03-30,190.96
2023-03-29,190.25
2023-03-28,187.69
2023-03-27,185.24
2023-03-24,186.69
2023-03-23,181.82
2023-03-22,182.94
2023-03-21,186.1
2023-03-20,185.5
2023-03-17,180.07
2023-03-16,180.87
2023-03-15,179.97
2023-03-14,180.9
2023-03-13,180.96
2023-03-10,180.14
2023-03-09,183.17
2023-03-08,184.87
2023-03-07,184.15
