,Close
2024-05-13,429.93
2024-05-10,422.78
2024-05-09,418.99
2024-05-08,418.82
2024-05-07,410.24
2024-05-06,402.5
2024-05-03,401.08
2024-05-02,400.16
2024-05-01,402.14
2024-04-30,392.81
2024-04-29,396.2
2024-04-26,397.48
2024-04-25,397.7
2024-04-24,400.76
2024-04-23,404.91
2024-04-22,399.92
2024-04-19,394.47
2024-04-18,393.48
2024-04-17,393.1
2024-04-16,394.17
2024-04-15,397.36
2024-04-12,396.55
2024-04-11,400.23
2024-04-10,397.58
2024-04-09,404.48
2024-04-08,404.22
2024-04-05,406.67
2024-04-04,404.01
2024-04-03,408.81
2024-04-02,409.42
2024-04-01,420.48
2024-03-28,418.01
2024-03-27,417.32
2024-03-26,418.46
2024-03-25,416.03
2024-03-22,415.66
2024-03-21,415.71
2024-03-20,412.11
2024-03-19,415.2
2024-03-18,411.38
2024-03-15,407.69
2024-03-14,408.77
2024-03-13,413.2
2024-03-12,412.45
2024-03-11,414.47
2024-03-08,413.59
2024-03-07,410.54
2024-03-06,411.85
2024-03-05,415.44
2024-03-04,424.03
2024-03-01,432.76
2024-02-29,420.74
2024-02-28,426.97
2024-02-27,430.92
2024-02-26,433.48
2024-02-23,430.11
2024-02-22,426.78
2024-02-21,419.63
2024-02-20,420.64
2024-02-16,422.2
2024-02-15,426.29
2024-02-14,417.88
2024-02-13,416.04
2024-02-12,418.53
2024-02-09,422.91
2024-02-08,423.06
2024-02-07,419.08
2024-02-06,416.13
2024-02-05,428.89
2024-02-02,424.68
2024-02-01,433.87
2024-01-31,433.38
2024-01-30,446.08
2024-01-29,435.82
2024-01-26,430.17
2024-01-25,429.96
2024-01-24,427.56
2024-01-23,439.7
2024-01-22,440.11
2024-01-19,435.02
2024-01-18,432.98
2024-01-17,433.76
2024-01-16,437.49
2024-01-12,433.4
2024-01-11,430.08
2024-01-10,423.76
2024-01-09,421.01
2024-01-08,419.12
2024-01-05,416.5
2024-01-04,416.15
2024-01-03,410.71
2024-01-02,410.91
2023-12-29,406.89
2023-12-28,409.27
2023-12-27,408.05
2023-12-26,407.66
2023-12-22,405.25
2023-12-21,400.63
2023-12-20,400.25
2023-12-19,403.14
2023-12-18,404.65
2023-12-15,410.68
2023-12-14,406.6
2023-12-13,405.07
2023-12-12,357.73
2023-12-11,356.29
2023-12-08,350.15
2023-12-07,353.95
2023-12-06,353.46
2023-12-05,354.15
2023-12-04,350.63
2023-12-01,351.16
2023-11-30,354.81
2023-11-29,351.0
2023-11-28,347.04
2023-11-27,350.19
2023-11-24,353.04
2023-11-22,353.23
2023-11-21,354.78
2023-11-20,356.84
2023-11-17,350.5
2023-11-16,343.0
2023-11-15,349.34
2023-11-14,369.95
2023-11-13,378.92
2023-11-10,373.65
2023-11-09,368.57
2023-11-08,376.96
2023-11-07,378.25
2023-11-06,385.76
2023-11-03,376.2
2023-11-02,376.55
2023-11-01,369.33
2023-10-31,362.11
2023-10-30,357.45
2023-10-27,355.28
2023-10-26,361.28
2023-10-25,363.04
2023-10-24,369.38
2023-10-23,367.66
2023-10-20,361.86
2023-10-19,364.8
2023-10-18,367.55
2023-10-17,373.5
2023-10-16,374.0
2023-10-13,371.0
2023-10-12,368.0
2023-10-11,365.25
2023-10-10,360.57
2023-10-09,355.2
2023-10-06,360.62
2023-10-05,355.14
2023-10-04,352.97
2023-10-03,345.15
2023-10-02,347.83
2023-09-29,347.74
2023-09-28,352.5
2023-09-27,349.65
2023-09-26,351.69
2023-09-25,350.67
2023-09-22,349.53
2023-09-21,354.28
2023-09-20,352.31
2023-09-19,358.26
2023-09-18,352.0
2023-09-15,348.9
2023-09-14,349.415
2023-09-13,346.84
2023-09-12,346.55
2023-09-11,347.22
2023-09-08,343.05
2023-09-07,343.96
2023-09-06,344.32
2023-09-05,348.26
2023-09-01,351.1
2023-08-31,348.34
2023-08-30,350.76
2023-08-29,351.26
2023-08-28,351.6
2023-08-25,350.06
2023-08-24,346.77
2023-08-23,350.6
2023-08-22,350.4
2023-08-21,350.74
2023-08-18,344.82
2023-08-17,343.87
2023-08-16,343.41
2023-08-15,349.78
2023-08-14,349.37
2023-08-11,349.86
2023-08-10,347.38
2023-08-09,345.11
2023-08-08,344.47
2023-08-07,345.32
2023-08-04,340.48
2023-08-03,347.74
2023-08-02,358.4
2023-08-01,347.74
2023-07-31,352.34
2023-07-28,354.05
2023-07-27,349.64
2023-07-26,351.91
2023-07-25,358.06
2023-07-24,357.05
2023-07-21,362.46
2023-07-20,361.82
2023-07-19,358.57
2023-07-18,358.98
2023-07-17,357.98
2023-07-14,352.74
2023-07-13,349.02
2023-07-12,346.06
2023-07-11,341.74
2023-07-10,344.46
2023-07-07,338.18
2023-07-06,345.76
2023-07-05,348.32
2023-07-03,347.57
2023-06-30,351.91
2023-06-29,348.18
2023-06-28,350.78
2023-06-27,347.12
2023-06-26,347.45
2023-06-23,347.0
2023-06-22,348.16
2023-06-21,343.28
2023-06-20,342.69
2023-06-16,347.89
2023-06-15,349.08
2023-06-14,340.96
2023-06-13,342.1
2023-06-12,340.6
2023-06-09,334.11
2023-06-08,332.58
2023-06-07,324.65
2023-06-06,330.41
2023-06-05,334.42
2023-06-02,333.78
2023-06-01,323.62
2023-05-31,323.57
2023-05-30,325.3
2023-05-26,329.99
2023-05-25,332.63
2023-05-24,333.85
2023-05-23,333.51
2023-05-22,339.97
2023-05-19,341.7
2023-05-18,339.46
2023-05-17,341.2
2023-05-16,345.15
2023-05-15,348.65
2023-05-12,347.41
2023-05-11,350.4
2023-05-10,350.04
2023-05-09,344.83
2023-05-08,344.09
2023-05-05,348.09
2023-05-04,346.59
2023-05-03,346.36
2023-05-02,346.03
2023-05-01,345.0
2023-04-28,340.73
2023-04-27,339.37
2023-04-26,323.3
2023-04-25,331.93
2023-04-24,332.84
2023-04-21,331.09
