,Close
2024-05-13,18.12
2024-05-10,17.19
2024-05-09,17.25
2024-05-08,17.23
2024-05-07,17.35
2024-05-06,17.26
2024-05-03,17.81
2024-05-02,17.53
2024-05-01,17.34
2024-04-30,17.73
2024-04-29,18.02
2024-04-26,17.7
2024-04-25,17.6
2024-04-24,17.81
2024-04-23,18.05
2024-04-22,18.22
2024-04-19,18.25
2024-04-18,17.59
2024-04-17,17.63
2024-04-16,17.64
2024-04-15,17.65
2024-04-12,17.85
2024-04-11,18.08
2024-04-10,18.02
2024-04-09,19.18
2024-04-08,19.16
2024-04-05,19.13
2024-04-04,18.98
2024-04-03,18.5
2024-04-02,18.72
2024-04-01,19.54
2024-03-28,21.69
2024-03-27,21.02
2024-03-26,20.51
2024-03-25,20.63
2024-03-22,20.58
2024-03-21,20.8
2024-03-20,21.09
2024-03-19,20.71
2024-03-18,20.69
2024-03-15,20.82
2024-03-14,20.62
2024-03-13,21.05
2024-03-12,21.28
2024-03-11,21.54
2024-03-08,21.16
2024-03-07,20.94
2024-03-06,20.89
2024-03-05,21.01
2024-03-04,20.58
2024-03-01,21.49
2024-02-29,21.26
2024-02-28,21.16
2024-02-27,21.63
2024-02-26,20.99
2024-02-23,21.73
2024-02-22,21.57
2024-02-21,21.75
2024-02-20,22.31
2024-02-16,21.98
2024-02-15,22.29
2024-02-14,21.54
2024-02-13,21.55
2024-02-12,22.63
2024-02-09,22.24
2024-02-08,22.54
2024-02-07,22.81
2024-02-06,23.11
2024-02-05,22.16
2024-02-02,22.64
2024-02-01,23.25
2024-01-31,22.57
2024-01-30,22.76
2024-01-29,22.72
2024-01-26,22.85
2024-01-25,23.11
2024-01-24,22.37
2024-01-23,22.58
2024-01-22,22.56
2024-01-19,22.0
2024-01-18,22.15
2024-01-17,22.17
2024-01-16,22.87
2024-01-12,23.27
2024-01-11,24.03
2024-01-10,24.68
2024-01-09,25.36
2024-01-08,25.63
2024-01-05,25.01
2024-01-04,24.26
2024-01-03,25.57
2024-01-02,26.65
2023-12-29,26.11
2023-12-28,26.6
2023-12-27,26.64
2023-12-26,26.61
2023-12-22,26.22
2023-12-21,26.06
2023-12-20,25.4
2023-12-19,26.03
2023-12-18,24.98
2023-12-15,25.2
2023-12-14,25.14
2023-12-13,24.63
2023-12-12,22.93
2023-12-11,23.0
2023-12-08,23.16
2023-12-07,22.91
2023-12-06,21.38
2023-12-05,20.51
2023-12-04,20.79
2023-12-01,20.79
2023-11-30,19.94
2023-11-29,19.98
2023-11-28,19.98
2023-11-27,20.11
2023-11-24,20.85
2023-11-22,20.69
2023-11-21,20.98
2023-11-20,21.03
2023-11-17,21.22
2023-11-16,20.75
2023-11-15,21.55
2023-11-14,21.09
2023-11-13,20.17
2023-11-10,20.76
2023-11-09,20.45
2023-11-08,21.0
2023-11-07,21.65
2023-11-06,21.77
2023-11-03,22.11
2023-11-02,21.5
2023-11-01,20.63
2023-10-31,21.08
2023-10-30,21.1
2023-10-27,21.14
2023-10-26,21.7
2023-10-25,21.67
2023-10-24,21.37
2023-10-23,21.96
2023-10-20,21.26
2023-10-19,20.96
2023-10-18,21.25
2023-10-17,22.85
2023-10-16,22.78
2023-10-13,23.25
2023-10-12,24.19
2023-10-11,22.6
2023-10-10,22.38
2023-10-09,22.27
2023-10-06,21.81
2023-10-05,22.18
2023-10-04,22.29
2023-10-03,22.55
2023-10-02,22.42
2023-09-29,22.24
2023-09-28,20.9
2023-09-27,21.02
2023-09-26,21.13
2023-09-25,21.34
2023-09-22,21.12
2023-09-21,21.45
2023-09-20,21.84
2023-09-19,22.03
2023-09-18,22.19
2023-09-15,22.42
2023-09-14,22.48
2023-09-13,21.9
2023-09-12,21.72
2023-09-11,21.43
2023-09-08,21.99
2023-09-07,22.04
2023-09-06,22.64
2023-09-05,22.73
2023-09-01,23.43
2023-08-31,25.31
2023-08-30,25.6
2023-08-29,25.54
2023-08-28,25.17
2023-08-25,25.26
2023-08-24,25.32
2023-08-23,26.54
2023-08-22,26.54
2023-08-21,26.44
2023-08-18,26.54
2023-08-17,27.16
2023-08-16,28.19
2023-08-15,28.6
2023-08-14,29.07
2023-08-11,29.35
2023-08-10,29.23
2023-08-09,29.26
2023-08-08,29.53
2023-08-07,29.88
2023-08-04,29.86
2023-08-03,30.31
2023-08-02,30.67
2023-08-01,29.57
2023-07-31,29.97
2023-07-28,29.8
2023-07-27,30.63
2023-07-26,30.85
2023-07-25,30.69
2023-07-24,30.64
2023-07-21,30.46
2023-07-20,30.24
2023-07-19,29.93
2023-07-18,29.58
2023-07-17,29.12
2023-07-14,29.2
2023-07-13,29.74
2023-07-12,30.32
2023-07-11,30.57
2023-07-10,29.79
2023-07-07,29.1
2023-07-06,29.11
2023-07-05,29.26
2023-07-03,29.02
2023-06-30,28.49
2023-06-29,28.37
2023-06-28,29.08
2023-06-27,28.64
2023-06-26,31.59
2023-06-23,31.4
2023-06-22,31.89
2023-06-21,31.56
2023-06-20,32.39
2023-06-16,32.67
2023-06-15,32.02
2023-06-14,31.51
2023-06-13,31.95
2023-06-12,31.64
2023-06-09,31.42
2023-06-08,31.85
2023-06-07,31.93
2023-06-06,31.53
2023-06-05,31.25
2023-06-02,31.19
2023-06-01,30.32
2023-05-31,30.37
2023-05-30,29.93
2023-05-26,30.01
2023-05-25,29.97
2023-05-24,30.79
2023-05-23,31.6
2023-05-22,31.19
2023-05-19,31.28
2023-05-18,31.46
2023-05-17,32.04
2023-05-16,31.35
2023-05-15,31.5
2023-05-12,31.07
2023-05-11,31.17
2023-05-10,31.59
2023-05-09,31.44
2023-05-08,31.66
2023-05-05,32.17
2023-05-04,31.55
2023-05-03,31.96
2023-05-02,33.5
2023-05-01,34.61
2023-04-28,35.25
2023-04-27,35.1
2023-04-26,34.81
2023-04-25,34.89
2023-04-24,35.5
2023-04-21,35.27
2023-04-20,35.37
2023-04-19,34.83
2023-04-18,35.58
2023-04-17,35.94
2023-04-14,35.32
2023-04-13,35.78
2023-04-12,35.69
2023-04-11,36.31
2023-04-10,36.1
2023-04-06,35.78
2023-04-05,36.12
2023-04-04,35.85
2023-04-03,35.46
2023-03-31,34.58
2023-03-30,34.63
2023-03-29,34.15
2023-03-28,33.82
2023-03-27,32.94
2023-03-24,32.7
2023-03-23,32.33
2023-03-22,32.5
2023-03-21,33.54
2023-03-20,33.19
2023-03-17,32.91
2023-03-16,33.41
2023-03-15,33.54
2023-03-14,33.29
2023-03-13,33.57
2023-03-10,33.26
2023-03-09,33.29
2023-03-08,34.48
2023-03-07,34.14
2023-03-06,35.45
2023-03-03,36.09
2023-03-02,35.38
2023-03-01,35.2
2023-02-28,35.53
2023-02-27,35.39
2023-02-24,35.8
2023-02-23,36.21
2023-02-22,36.08
2023-02-21,36.16
2023-02-17,36.76
2023-02-16,36.32
2023-02-15,36.52
2023-02-14,36.75
2023-02-13,37.11
2023-02-10,36.55
2023-02-09,35.81
2023-02-08,36.56
2023-02-07,36.74
2023-02-06,36.28
2023-02-03,37.09
2023-02-02,37.71
2023-02-01,37.18
2023-01-31,36.86
2023-01-30,36.53
2023-01-27,37.17
2023-01-26,36.5
2023-01-25,36.28
2023-01-24,35.9
2023-01-23,36.67
2023-01-20,35.88
2023-01-19,35.41
2023-01-18,35.61
2023-01-17,36.33
2023-01-13,36.78
2023-01-12,36.66
2023-01-11,37.12
2023-01-10,36.7
2023-01-09,36.35
2023-01-06,36.61
2023-01-05,35.19
2023-01-04,37.49
2023-01-03,37.19
2022-12-30,37.36
2022-12-29,37.47
2022-12-28,37.58
2022-12-27,38.31
2022-12-23,38.63
2022-12-22,38.44
2022-12-21,38.6
2022-12-20,39.53
2022-12-19,39.32
2022-12-16,39.05
2022-12-15,39.53
2022-12-14,40.63
2022-12-13,41.03
2022-12-12,41.06
2022-12-09,40.43
2022-12-08,40.9
2022-12-07,40.65
2022-12-06,40.59
2022-12-05,41.21
2022-12-02,41.48
2022-12-01,41.31
2022-11-30,41.5
2022-11-29,41.08
2022-11-28,40.81
2022-11-25,41.66
2022-11-23,41.76
2022-11-22,41.79
2022-11-21,40.59
2022-11-18,39.75
2022-11-17,40.13
2022-11-16,40.39
2022-11-15,40.65
2022-11-14,40.54
2022-11-11,40.78
2022-11-10,38.0422
2022-11-09,36.4608
2022-11-08,37.8446
2022-11-07,38.1411
2022-11-04,36.6387
2022-11-03,35.3242
2022-11-02,35.3934
2022-11-01,35.8382
2022-10-31,36.0754
2022-10-28,36.1544
2022-10-27,35.255
2022-10-26,35.0969
2022-10-25,35.1068
2022-10-24,34.2864
2022-10-21,33.901
2022-10-20,32.9719
2022-10-19,33.0016
2022-10-18,32.7149
2022-10-17,32.6161
2022-10-14,32.8533
