,Close
2024-05-13,8.38
2024-05-10,8.15
2024-05-09,8.04
2024-05-08,7.8
2024-05-07,7.77
2024-05-06,7.96
2024-05-03,7.97
2024-05-02,7.95
2024-05-01,7.62
2024-04-30,7.36
2024-04-29,8.15
2024-04-26,8.11
2024-04-25,8.29
2024-04-24,8.38
2024-04-23,8.44
2024-04-22,8.47
2024-04-19,8.405
2024-04-18,8.31
2024-04-17,8.23
2024-04-16,8.14
2024-04-15,8.36
2024-04-12,8.34
2024-04-11,8.54
2024-04-10,8.32
2024-04-09,8.69
2024-04-08,8.52
2024-04-05,8.32
2024-04-04,8.44
2024-04-03,8.73
2024-04-02,8.48
2024-04-01,8.79
2024-03-28,8.73
2024-03-27,8.64
2024-03-26,8.38
2024-03-25,8.46
2024-03-22,8.44
2024-03-21,8.72
2024-03-20,8.74
2024-03-19,8.5
2024-03-18,8.48
2024-03-15,8.54
2024-03-14,8.53
2024-03-13,8.85
2024-03-12,8.86
2024-03-11,9.07
2024-03-08,8.73
2024-03-07,8.74
2024-03-06,8.41
2024-03-05,8.14
2024-03-04,8.11
2024-03-01,8.67
2024-02-29,8.79
2024-02-28,8.71
2024-02-27,8.7
2024-02-26,8.55
2024-02-23,8.61
2024-02-22,9.56
2024-02-21,9.57
2024-02-20,9.89
2024-02-16,9.83
2024-02-15,10.14
2024-02-14,9.73
2024-02-13,9.54
2024-02-12,9.96
2024-02-09,9.64
2024-02-08,9.83
2024-02-07,9.75
2024-02-06,10.07
2024-02-05,10.07
2024-02-02,10.25
2024-02-01,10.46
2024-01-31,10.02
2024-01-30,10.1
2024-01-29,10.49
2024-01-26,10.62
2024-01-25,10.58
2024-01-24,10.41
2024-01-23,10.54
2024-01-22,10.47
2024-01-19,10.35
2024-01-18,10.28
2024-01-17,10.16
2024-01-16,10.35
2024-01-12,10.65
2024-01-11,10.54
2024-01-10,10.97
2024-01-09,11.03
2024-01-08,11.4
2024-01-05,11.2
2024-01-04,11.35
2024-01-03,11.3
2024-01-02,11.66
2023-12-29,11.38
2023-12-28,11.69
2023-12-27,11.49
2023-12-26,11.5
2023-12-22,11.27
2023-12-21,11.49
2023-12-20,11.66
2023-12-19,12.36
2023-12-18,11.97
2023-12-15,12.26
2023-12-14,12.49
2023-12-13,11.88
2023-12-12,11.23
2023-12-11,11.43
2023-12-08,11.47
2023-12-07,10.82
2023-12-06,10.92
2023-12-05,10.87
2023-12-04,11.39
2023-12-01,11.33
2023-11-30,10.45
2023-11-29,10.78
2023-11-28,10.62
2023-11-27,10.78
2023-11-24,10.85
2023-11-22,10.66
2023-11-21,10.58
2023-11-20,10.74
2023-11-17,10.71
2023-11-16,10.32
2023-11-15,10.56
2023-11-14,10.44
2023-11-13,9.89
2023-11-10,10.13
2023-11-09,9.64
2023-11-08,9.4
2023-11-07,11.61
2023-11-06,11.45
2023-11-03,11.77
2023-11-02,11.08
2023-11-01,10.08
2023-10-31,9.94
2023-10-30,9.85
2023-10-27,9.55
2023-10-26,9.8
2023-10-25,9.73
2023-10-24,10.08
2023-10-23,10.14
2023-10-20,10.33
2023-10-19,10.39
2023-10-18,10.58
2023-10-17,10.92
2023-10-16,10.9
2023-10-13,10.37
2023-10-12,10.32
2023-10-11,10.96
2023-10-10,10.67
2023-10-09,10.53
2023-10-06,10.28
2023-10-05,10.09
2023-10-04,10.29
2023-10-03,10.35
2023-10-02,10.51
2023-09-29,10.86
2023-09-28,10.69
2023-09-27,11.03
2023-09-26,10.69
2023-09-25,10.66
2023-09-22,11.1
2023-09-21,11.51
2023-09-20,11.5
2023-09-19,11.64
2023-09-18,11.66
2023-09-15,11.84
2023-09-14,11.73
2023-09-13,11.41
2023-09-12,11.33
2023-09-11,11.58
2023-09-08,11.32
2023-09-07,11.03
2023-09-06,11.49
2023-09-05,11.64
2023-09-01,11.56
2023-08-31,13.14
2023-08-30,13.11
2023-08-29,12.95
2023-08-28,12.79
2023-08-25,12.27
2023-08-24,12.7
2023-08-23,12.7
2023-08-22,12.54
2023-08-21,12.65
2023-08-18,12.78
2023-08-17,12.76
