,Close
2024-05-13,247.08
2024-05-10,246.34
2024-05-09,245.96
2024-05-08,249.63
2024-05-07,249.43
2024-05-06,249.91
2024-05-03,255.78
2024-05-02,250.85
2024-05-01,244.96
2024-04-30,244.73
2024-04-29,248.77
2024-04-26,251.04
2024-04-25,254.06
2024-04-24,255.74
2024-04-23,256.82
2024-04-22,253.53
2024-04-19,252.13
2024-04-18,255.64
2024-04-17,257.02
2024-04-16,257.69
2024-04-15,259.63
2024-04-12,263.69
2024-04-11,268.47
2024-04-10,266.86
2024-04-09,271.1
2024-04-08,268.61
2024-04-05,268.32
2024-04-04,269.08
2024-04-03,268.83
2024-04-02,271.66
2024-04-01,272.44
2024-03-28,272.75
2024-03-27,273.62
2024-03-26,277.38
2024-03-25,275.68
2024-03-22,277.5
2024-03-21,276.49
2024-03-20,276.41
2024-03-19,273.24
2024-03-18,272.6
2024-03-15,268.27
2024-03-14,272.04
2024-03-13,269.73
2024-03-12,271.21
2024-03-11,266.72
2024-03-08,264.32
2024-03-07,264.74
2024-03-06,266.93
2024-03-05,266.74
2024-03-04,273.02
2024-03-01,291.92
2024-02-29,294.66
2024-02-28,295.16
2024-02-27,295.05
2024-02-26,307.21
2024-02-23,305.88
2024-02-22,306.62
2024-02-21,298.96
2024-02-20,301.98
2024-02-16,302.67
2024-02-15,305.09
2024-02-14,302.24
2024-02-13,296.75
2024-02-12,299.09
2024-02-09,304.89
2024-02-08,298.65
2024-02-07,294.42
2024-02-06,288.63
2024-02-05,291.73
2024-02-02,294.74
2024-02-01,294.0
2024-01-31,291.07
2024-01-30,294.86
2024-01-29,296.73
2024-01-26,288.63
2024-01-25,292.36
2024-01-24,295.5
2024-01-23,291.32
2024-01-22,289.88
2024-01-19,289.99
2024-01-18,285.68
2024-01-17,281.32
2024-01-16,280.89
2024-01-12,283.24
2024-01-11,278.97
2024-01-10,276.81
2024-01-09,275.82
2024-01-08,272.94
2024-01-05,265.8
2024-01-04,267.08
2024-01-03,268.41
2024-01-02,268.28
2023-12-29,276.06
2023-12-28,276.08
2023-12-27,273.7
2023-12-26,273.97
2023-12-22,272.57
2023-12-21,272.9
2023-12-20,270.15
2023-12-19,273.98
2023-12-18,272.75
2023-12-15,272.7
2023-12-14,270.78
2023-12-13,278.68
2023-12-12,276.75
2023-12-11,276.11
2023-12-08,273.41
2023-12-07,272.38
2023-12-06,267.32
2023-12-05,267.76
2023-12-04,269.22
2023-12-01,272.92
2023-11-30,270.72
2023-11-29,263.49
2023-11-28,237.33
2023-11-27,235.83
2023-11-24,236.61
2023-11-22,234.26
2023-11-21,236.68
2023-11-20,237.02
2023-11-17,231.66
2023-11-16,231.95
2023-11-15,231.51
2023-11-14,232.42
2023-11-13,226.3
