,Close
2024-05-13,175.0
2024-05-10,174.62
2024-05-09,171.96
2024-05-08,171.0
2024-05-07,176.89
2024-05-06,178.14
2024-05-03,177.11
2024-05-02,176.37
2024-05-01,172.31
2024-04-30,172.94
2024-04-29,179.04
2024-04-26,177.05
2024-04-25,174.81
2024-04-24,177.46
2024-04-23,176.92
2024-04-22,170.97
2024-04-19,169.16
2024-04-18,172.97
2024-04-17,172.96
2024-04-16,174.32
2024-04-15,174.85
2024-04-12,181.41
2024-04-11,184.78
2024-04-10,183.95
2024-04-09,188.5
2024-04-08,183.71
2024-04-05,183.34
2024-04-04,182.01
2024-04-03,186.31
2024-04-02,188.74
2024-04-01,192.13
2024-03-28,192.63
2024-03-27,193.48
2024-03-26,195.63
2024-03-25,194.07
2024-03-22,194.95
2024-03-21,198.07
2024-03-20,197.3
2024-03-19,195.24
2024-03-18,195.94
2024-03-15,194.03
2024-03-14,198.83
2024-03-13,201.43
2024-03-12,201.24
2024-03-11,200.74
2024-03-08,198.69
2024-03-07,201.27
2024-03-06,202.42
2024-03-05,206.36
2024-03-04,214.22
2024-03-01,219.23
2024-02-29,241.97
2024-02-28,237.29
2024-02-27,242.49
2024-02-26,241.7
2024-02-23,235.23
2024-02-22,226.15
2024-02-21,213.92
2024-02-20,249.04
2024-02-16,252.75
2024-02-15,253.16
2024-02-14,253.27
2024-02-13,242.8
2024-02-12,253.86
2024-02-09,254.93
2024-02-08,249.41
2024-02-07,244.66
2024-02-06,234.73
2024-02-05,232.05
2024-02-02,244.0
2024-02-01,238.06
2024-01-31,235.67
2024-01-30,241.12
2024-01-29,245.05
2024-01-26,236.83
2024-01-25,238.3
2024-01-24,241.38
2024-01-23,242.59
2024-01-22,240.85
2024-01-19,231.29
2024-01-18,227.91
2024-01-17,225.33
2024-01-16,232.18
2024-01-12,230.77
2024-01-11,228.52
2024-01-10,225.4
2024-01-09,226.26
2024-01-08,218.1
2024-01-05,209.81
2024-01-04,210.33
2024-01-03,210.24
2024-01-02,212.37
2023-12-29,221.56
2023-12-28,224.44
2023-12-27,225.02
2023-12-26,224.59
2023-12-22,221.68
2023-12-21,221.33
2023-12-20,218.73
2023-12-19,224.04
2023-12-18,222.55
2023-12-15,221.66
2023-12-14,216.4
2023-12-13,215.45
2023-12-12,210.76
2023-12-11,205.47
2023-12-08,198.8
2023-12-07,200.05
2023-12-06,197.91
2023-12-05,198.91
2023-12-04,198.26
2023-12-01,198.03
2023-11-30,197.53
2023-11-29,199.84
2023-11-28,193.85
2023-11-27,191.91
2023-11-24,193.09
2023-11-22,190.64
2023-11-21,191.36
2023-11-20,191.96
2023-11-17,187.47
2023-11-16,186.18
2023-11-15,184.56
2023-11-14,187.09
2023-11-13,178.17
2023-11-10,175.04
2023-11-09,170.7
2023-11-08,173.96
2023-11-07,171.39
2023-11-06,163.47
2023-11-03,164.37
2023-11-02,159.19
2023-11-01,156.65
2023-10-31,158.69
2023-10-30,156.81
2023-10-27,154.37
2023-10-26,154.61
2023-10-25,157.61
2023-10-24,164.79
2023-10-23,162.48
2023-10-20,162.19
2023-10-19,169.07
2023-10-18,170.4
2023-10-17,172.29
2023-10-16,172.21
2023-10-13,168.52
2023-10-12,170.65
2023-10-11,173.05
2023-10-10,171.88
2023-10-09,168.86
2023-10-06,163.59
2023-10-05,153.3
2023-10-04,155.12
2023-10-03,151.46
2023-10-02,160.89
2023-09-29,155.59
2023-09-28,150.92
2023-09-27,148.87
2023-09-26,148.03
2023-09-25,148.97
2023-09-22,151.71
2023-09-21,148.79
2023-09-20,154.23
2023-09-19,155.05
2023-09-18,154.72
2023-09-15,156.1
2023-09-14,159.23
2023-09-13,158.4
2023-09-12,160.22
2023-09-11,165.05
2023-09-08,160.77
2023-09-07,161.02
2023-09-06,158.35
2023-09-05,162.74
2023-09-01,158.38
2023-08-31,156.05
2023-08-30,147.28
2023-08-29,144.39
2023-08-28,141.34
2023-08-25,142.76
2023-08-24,139.74
2023-08-23,145.47
2023-08-22,141.9
2023-08-21,142.78
2023-08-18,136.21
2023-08-17,135.65
2023-08-16,140.13
2023-08-15,142.71
2023-08-14,144.91
2023-08-11,142.95
2023-08-10,144.3
2023-08-09,140.3
2023-08-08,138.69
2023-08-07,145.34
2023-08-04,146.16
2023-08-03,150.77
2023-08-02,150.54
2023-08-01,162.8
2023-07-31,160.38
2023-07-28,157.49
2023-07-27,155.25
2023-07-26,156.62
2023-07-25,155.21
2023-07-24,148.33
2023-07-21,149.01
2023-07-20,147.9
2023-07-19,161.04
2023-07-18,154.81
2023-07-17,151.82
2023-07-14,145.43
2023-07-13,145.14
2023-07-12,137.68
2023-07-11,147.39
2023-07-10,154.27
2023-07-07,143.18
2023-07-06,141.74
2023-07-05,146.97
2023-07-03,146.59
2023-06-30,146.3
2023-06-29,144.84
2023-06-28,144.11
2023-06-27,144.66
2023-06-26,141.71
2023-06-23,142.7
2023-06-22,144.84
2023-06-21,144.85
2023-06-20,148.66
2023-06-16,154.01
2023-06-15,158.34
2023-06-14,157.55
2023-06-13,157.59
2023-06-12,155.98
2023-06-09,150.84
2023-06-08,148.82
2023-06-07,144.92
2023-06-06,152.99
2023-06-05,148.05
2023-06-02,142.39
2023-06-01,135.09
2023-05-31,135.48
2023-05-30,134.72
2023-05-26,130.62
2023-05-25,126.69
2023-05-24,126.53
2023-05-23,124.47
2023-05-22,128.86
2023-05-19,125.27
2023-05-18,123.96
2023-05-17,118.77
2023-05-16,118.35
2023-05-15,120.81
2023-05-12,114.33
2023-05-11,115.42
2023-05-10,116.79
2023-05-09,110.045
2023-05-08,107.92
2023-05-05,89.46
2023-05-04,87.74
2023-05-03,87.37
2023-05-02,87.0
2023-05-01,88.74
2023-04-28,90.1
2023-04-27,93.42
2023-04-26,93.07
2023-04-25,92.32
2023-04-24,100.66
2023-04-21,101.71
2023-04-20,100.49
2023-04-19,102.96
2023-04-18,103.56
2023-04-17,105.59
2023-04-14,105.45
2023-04-13,107.39
2023-04-12,105.87
2023-04-11,105.96
2023-04-10,104.95
2023-04-06,103.74
2023-04-05,101.3
2023-04-04,110.51
2023-04-03,112.9
2023-03-31,116.83
2023-03-30,112.22
2023-03-29,110.7
2023-03-28,110.25
2023-03-27,111.87
2023-03-24,111.93
2023-03-23,112.56
2023-03-22,108.86
2023-03-21,113.02
2023-03-20,105.46
2023-03-17,105.49
2023-03-16,108.13
