,Close
2024-05-08,68900.5
2024-05-07,68882.56
2024-05-06,68568.5
2024-05-03,68002.25
2024-05-02,68124.0
2024-04-30,68142.02
2024-04-29,67885.94
2024-04-26,67039.31
2024-04-25,66129.25
2024-04-24,66376.56
2024-04-23,65939.25
2024-04-22,65125.52
2024-04-19,65045.06
2024-04-18,65674.44
2024-04-17,66115.44
2024-04-16,65428.99
2024-04-15,67407.88
2024-04-12,67289.06
2024-04-11,67205.06
2024-04-10,67271.31
2024-04-09,66343.66
2024-04-08,66544.13
2024-04-05,66527.44
2024-04-04,66625.06
2024-04-03,66839.15
2024-04-02,65811.25
2024-03-28,65384.6
2024-03-27,64830.3
2024-03-26,65005.38
2024-03-25,65095.72
2024-03-22,65236.93
2024-03-21,65841.44
2024-03-20,65982.88
2024-03-19,65933.88
2024-03-18,65450.33
2024-03-14,64988.33
2024-03-13,65600.63
2024-03-12,66455.06
2024-03-11,65599.5
2024-03-08,66093.63
2024-03-07,66201.31
2024-03-06,65986.5
2024-03-05,65840.0
2024-03-04,66319.5
2024-03-01,66169.06
2024-02-29,65938.63
2024-02-28,66080.19
2024-02-27,65541.56
2024-02-26,66038.19
2024-02-23,66263.19
2024-02-22,66185.38
2024-02-21,66344.19
2024-02-20,65940.94
2024-02-19,66000.06
2024-02-16,65769.75
2024-02-15,65660.81
2024-02-14,64999.45
2024-02-13,64756.5
2024-02-12,64763.57
2024-02-09,64982.98
2024-02-08,64442.63
2024-02-07,64345.88
2024-02-06,64991.89
2024-02-05,64830.41
2024-02-02,65290.31
2024-02-01,65320.88
2024-01-31,64044.46
2024-01-30,63213.55
2024-01-29,63192.77
2024-01-26,64092.56
2024-01-25,64543.96
2024-01-24,64128.4
2024-01-23,63825.73
2024-01-22,64709.34
2024-01-19,64580.87
2024-01-18,63571.82
2024-01-17,63019.94
2024-01-16,63292.9
2024-01-15,63787.07
2024-01-12,63628.13
2024-01-11,63066.57
2024-01-10,62804.52
2024-01-09,61921.62
2024-01-08,61374.1
2024-01-05,61454.62
2024-01-04,60838.3
2024-01-03,60685.11
2024-01-02,60744.59
2023-12-29,60620.01
2023-12-28,60739.46
2023-12-27,60288.49
2023-12-22,60294.4
2023-12-21,60551.62
2023-12-20,61061.16
2023-12-19,60864.82
2023-12-18,60538.62
2023-12-15,60369.18
2023-12-14,60475.92
2023-12-13,58883.03
2023-12-12,59004.86
2023-12-11,58300.25
2023-12-08,58669.83
2023-12-07,58424.86
2023-12-06,58447.63
2023-12-05,58432.29
2023-12-04,58509.85
2023-12-01,58010.99
2023-11-30,57878.43
2023-11-29,57346.69
2023-11-28,57176.11
2023-11-27,55887.95
2023-11-24,56091.37
2023-11-23,56511.84
2023-11-22,56827.95
2023-11-21,56450.22
2023-11-20,56895.03
2023-11-17,57010.75
2023-11-16,57565.67
2023-11-15,58011.31
2023-11-14,57678.77
2023-11-13,57093.66
2023-11-10,57529.95
2023-11-09,57302.85
2023-11-08,57283.77
2023-11-07,57271.67
2023-11-06,57400.67
2023-11-03,57337.64
2023-11-02,56539.76
2023-10-31,56035.15
2023-10-30,56434.91
2023-10-27,56314.97
2023-10-26,56594.23
2023-10-25,56909.3
