,Close
2024-05-08,8131.41
2024-05-07,8075.68
2024-05-06,7996.64
2024-05-03,7957.57
2024-05-02,7914.65
2024-04-30,7984.93
2024-04-29,8065.15
2024-04-26,8088.24
2024-04-25,8016.65
2024-04-24,8091.86
2024-04-23,8105.78
2024-04-22,8040.36
2024-04-19,8022.41
2024-04-18,8023.26
2024-04-17,7981.51
2024-04-16,7932.61
2024-04-15,8045.11
2024-04-12,8010.83
2024-04-11,8023.74
2024-04-10,8045.38
2024-04-09,8049.17
2024-04-08,8119.3
2024-04-05,8061.31
2024-04-04,8151.55
2024-04-03,8153.23
2024-04-02,8130.05
2024-03-28,8205.81
2024-03-27,8204.81
2024-03-26,8184.75
2024-03-25,8151.6
2024-03-22,8151.92
2024-03-21,8179.72
2024-03-20,8161.41
2024-03-19,8201.05
2024-03-18,8148.14
2024-03-15,8164.35
2024-03-14,8161.42
2024-03-13,8137.58
2024-03-12,8087.48
2024-03-11,8019.73
2024-03-08,8028.01
2024-03-07,8016.22
2024-03-06,7954.74
2024-03-05,7932.82
2024-03-04,7956.41
2024-03-01,7934.17
2024-02-29,7927.43
2024-02-28,7954.39
2024-02-27,7948.4
2024-02-26,7929.82
2024-02-23,7966.68
2024-02-22,7911.6
2024-02-21,7812.09
2024-02-20,7795.22
2024-02-19,7768.55
2024-02-16,7768.18
2024-02-15,7743.42
2024-02-14,7677.35
2024-02-13,7625.31
2024-02-12,7689.8
2024-02-09,7647.52
2024-02-08,7665.63
2024-02-07,7611.26
2024-02-06,7638.97
2024-02-05,7589.96
2024-02-02,7592.26
2024-02-01,7588.75
2024-01-31,7656.75
2024-01-30,7677.47
2024-01-29,7640.81
2024-01-26,7634.14
2024-01-25,7464.2
2024-01-24,7455.64
2024-01-23,7388.04
2024-01-22,7413.25
2024-01-19,7371.64
2024-01-18,7401.35
2024-01-17,7318.69
2024-01-16,7398.0
2024-01-15,7411.68
2024-01-12,7465.14
2024-01-11,7387.62
2024-01-10,7426.08
2024-01-09,7426.62
2024-01-08,7450.24
2024-01-05,7420.69
2024-01-04,7450.63
2024-01-03,7411.86
2024-01-02,7530.86
2023-12-29,7543.18
2023-12-28,7535.16
2023-12-27,7571.82
2023-12-22,7568.82
2023-12-21,7571.4
2023-12-20,7583.43
2023-12-19,7574.67
2023-12-18,7568.86
2023-12-15,7596.91
2023-12-14,7575.85
2023-12-13,7531.22
2023-12-12,7543.55
2023-12-11,7551.53
2023-12-08,7526.55
2023-12-07,7428.52
2023-12-06,7435.99
2023-12-05,7386.99
