,Close
2024-05-08,18498.38
2024-05-07,18430.05
2024-05-06,18175.21
2024-05-03,18001.6
2024-05-02,17896.5
2024-04-30,17932.17
2024-04-29,18118.32
2024-04-26,18161.01
2024-04-25,17917.28
2024-04-24,18088.7
2024-04-23,18137.65
2024-04-22,17860.8
2024-04-19,17737.36
2024-04-18,17837.4
2024-04-17,17770.02
2024-04-16,17766.23
2024-04-15,18026.58
2024-04-12,17930.32
2024-04-11,17954.48
2024-04-10,18097.3
2024-04-09,18076.69
2024-04-08,18318.97
2024-04-05,18175.04
2024-04-04,18403.13
2024-04-03,18367.72
2024-04-02,18283.13
2024-03-28,18492.49
2024-03-27,18477.09
2024-03-26,18384.35
2024-03-25,18261.31
2024-03-22,18205.94
2024-03-21,18179.25
2024-03-20,18015.13
2024-03-19,17987.49
2024-03-18,17932.68
2024-03-15,17936.65
2024-03-14,17942.04
2024-03-13,17961.38
2024-03-12,17965.11
2024-03-11,17746.27
2024-03-08,17814.51
2024-03-07,17842.85
2024-03-06,17716.71
2024-03-05,17698.4
2024-03-04,17716.17
2024-03-01,17735.07
2024-02-29,17678.19
2024-02-28,17601.22
2024-02-27,17556.49
2024-02-26,17423.23
2024-02-23,17419.33
2024-02-22,17370.45
2024-02-21,17118.12
2024-02-20,17068.43
2024-02-19,17092.26
2024-02-16,17117.44
2024-02-15,17046.69
2024-02-14,16945.48
2024-02-13,16880.83
2024-02-12,17037.35
2024-02-09,16926.5
2024-02-08,16963.83
2024-02-07,16921.96
2024-02-06,17033.24
2024-02-05,16904.06
2024-02-02,16918.21
2024-02-01,16859.04
2024-01-31,16903.76
2024-01-30,16972.34
2024-01-29,16941.71
2024-01-26,16961.39
2024-01-25,16906.92
2024-01-24,16889.92
2024-01-23,16627.09
2024-01-22,16683.36
2024-01-19,16555.13
2024-01-18,16567.35
2024-01-17,16431.69
2024-01-16,16571.68
2024-01-15,16622.22
2024-01-12,16704.56
2024-01-11,16547.03
2024-01-10,16689.81
2024-01-09,16688.36
2024-01-08,16716.47
2024-01-05,16594.21
2024-01-04,16617.29
2024-01-03,16538.39
2024-01-02,16769.36
2023-12-29,16751.64
2023-12-28,16701.55
2023-12-27,16742.07
2023-12-22,16706.18
2023-12-21,16687.42
2023-12-20,16733.05
2023-12-19,16744.41
2023-12-18,16650.55
2023-12-15,16751.44
2023-12-14,16752.23
2023-12-13,16766.05
2023-12-12,16791.74
2023-12-11,16794.43
2023-12-08,16759.22
2023-12-07,16628.99
2023-12-06,16656.44
2023-12-05,16533.11
2023-12-04,16404.76
2023-12-01,16397.52
2023-11-30,16215.43
2023-11-29,16166.45
2023-11-28,15992.67
2023-11-27,15966.37
2023-11-24,16029.49
2023-11-23,15994.73
2023-11-22,15957.82
2023-11-21,15900.53
2023-11-20,15901.33
2023-11-17,15919.16
2023-11-16,15786.61
2023-11-15,15748.17
2023-11-14,15614.43
2023-11-13,15345.0
2023-11-10,15234.39
2023-11-09,15352.54
2023-11-08,15229.6
2023-11-07,15152.64
2023-11-06,15135.97
2023-11-03,15189.25
2023-11-02,15143.6
2023-11-01,14923.27
2023-10-31,14810.34
2023-10-30,14716.54
2023-10-27,14687.41
2023-10-26,14731.05
2023-10-25,14892.18
2023-10-24,14879.94
2023-10-23,14800.72
2023-10-20,14798.47
2023-10-19,15045.23
2023-10-18,15094.91
2023-10-17,15251.69
2023-10-16,15237.99
2023-10-13,15186.66
2023-10-12,15425.03
2023-10-11,15460.01
2023-10-10,15423.52
2023-10-09,15128.11
2023-10-06,15229.77
2023-10-05,15070.22
2023-10-04,15099.92
2023-10-03,15085.21
2023-10-02,15247.21
2023-09-29,15386.58
2023-09-28,15323.5
2023-09-27,15217.45
2023-09-26,15255.87
2023-09-25,15405.49
2023-09-22,15557.29
2023-09-21,15571.86
2023-09-20,15781.59
2023-09-19,15664.48
2023-09-18,15727.12
2023-09-15,15893.53
2023-09-14,15805.29
2023-09-13,15654.03
2023-09-12,15715.53
2023-09-11,15800.99
2023-09-08,15740.3
2023-09-07,15718.66
2023-09-06,15741.37
2023-09-05,15771.71
2023-09-04,15824.85
2023-09-01,15840.34
2023-08-31,15947.08
2023-08-30,15891.93
2023-08-29,15930.88
2023-08-28,15792.61
2023-08-25,15631.82
2023-08-24,15621.49
2023-08-23,15728.41
2023-08-22,15705.62
2023-08-21,15603.28
2023-08-18,15574.26
2023-08-17,15676.9
2023-08-16,15789.45
2023-08-15,15767.28
2023-08-14,15904.25
2023-08-11,15832.17
2023-08-10,15996.52
2023-08-09,15852.58
2023-08-08,15774.93
2023-08-07,15950.76
2023-08-04,15951.86
2023-08-03,15893.38
2023-08-02,16020.02
2023-08-01,16240.4
2023-07-31,16446.83
2023-07-28,16469.75
2023-07-27,16406.03
2023-07-26,16131.46
2023-07-25,16211.59
2023-07-24,16190.95
2023-07-21,16177.22
2023-07-20,16204.22
2023-07-19,16108.93
2023-07-18,16125.49
2023-07-17,16068.65
2023-07-14,16105.07
2023-07-13,16141.03
2023-07-12,16023.0
2023-07-11,15790.34
2023-07-10,15673.16
2023-07-07,15603.4
2023-07-06,15528.54
2023-07-05,15937.58
2023-07-04,16039.17
2023-07-03,16081.04
2023-06-30,16147.9
2023-06-29,15946.72
2023-06-28,15949.0
2023-06-27,15846.86
2023-06-26,15813.06
2023-06-23,15829.94
2023-06-22,15988.16
2023-06-21,16023.13
2023-06-20,16111.32
2023-06-19,16201.2
2023-06-16,16357.63
2023-06-15,16290.12
2023-06-14,16310.79
2023-06-13,16230.68
2023-06-12,16097.87
2023-06-09,15949.84
2023-06-08,15989.96
2023-06-07,15960.56
2023-06-06,15992.44
2023-06-05,15963.89
2023-06-02,16051.23
2023-06-01,15853.66
2023-05-31,15664.02
2023-05-30,15908.91
2023-05-29,15952.73
2023-05-26,15983.97
2023-05-25,15793.8
2023-05-24,15842.13
2023-05-23,16152.86
2023-05-22,16223.99
2023-05-19,16275.38
2023-05-18,16163.36
2023-05-17,15951.3
2023-05-16,15897.93
2023-05-15,15917.24
2023-05-12,15913.82
2023-05-11,15834.91
2023-05-10,15896.23
2023-05-09,15955.48
2023-05-08,15952.83
2023-05-05,15961.02
2023-05-04,15734.24
2023-05-03,15815.06
2023-05-02,15726.94
2023-04-28,15922.38
2023-04-27,15800.45
2023-04-26,15795.73
2023-04-25,15872.13
2023-04-24,15863.95
2023-04-21,15881.66
2023-04-20,15795.97
2023-04-19,15895.2
2023-04-18,15882.67
2023-04-17,15789.53
2023-04-14,15807.5
2023-04-13,15729.46
2023-04-12,15703.6
2023-04-11,15655.17
2023-04-06,15597.89
2023-04-05,15520.17
2023-04-04,15603.47
2023-04-03,15580.92
2023-03-31,15628.84
2023-03-30,15522.4
2023-03-29,15328.78
2023-03-28,15142.02
2023-03-27,15127.68
2023-03-24,14957.23
2023-03-23,15210.39
2023-03-22,15216.19
2023-03-21,15195.34
2023-03-20,14933.38
2023-03-17,14768.2
2023-03-16,14967.1
2023-03-15,14735.26
2023-03-14,15232.83
2023-03-13,14959.47
2023-03-10,15427.97
2023-03-09,15633.21
2023-03-08,15631.87
2023-03-07,15559.53
2023-03-06,15653.58
2023-03-03,15578.39
2023-03-02,15327.64
2023-03-01,15305.02
2023-02-28,15365.14
2023-02-27,15381.43
2023-02-24,15209.74
2023-02-23,15475.69
2023-02-22,15399.89
2023-02-21,15397.62
2023-02-20,15477.55
2023-02-17,15482.0
2023-02-16,15533.64
2023-02-15,15506.34
2023-02-14,15380.56
2023-02-13,15397.34
2023-02-10,15307.98
2023-02-09,15523.42
2023-02-08,15412.05
2023-02-07,15320.88
2023-02-06,15345.91
2023-02-03,15476.43
2023-02-02,15509.19
2023-02-01,15180.74
2023-01-31,15128.27
2023-01-30,15126.08
2023-01-27,15150.03
2023-01-26,15132.85
2023-01-25,15081.64
2023-01-24,15093.11
2023-01-23,15102.95
2023-01-20,15033.56
2023-01-19,14920.36
2023-01-18,15181.8
2023-01-17,15187.07
2023-01-16,15134.04
2023-01-13,15086.52
2023-01-12,15058.3
2023-01-11,14947.91
2023-01-10,14774.6
2023-01-09,14792.83
2023-01-06,14610.02
2023-01-05,14436.31
2023-01-04,14490.78
2023-01-03,14181.67
2023-01-02,14069.26
2022-12-30,13923.59
2022-12-29,14071.72
2022-12-28,13925.6
2022-12-27,13995.1
2022-12-23,13940.93
2022-12-22,13914.07
2022-12-21,14097.82
2022-12-20,13884.66
2022-12-19,13942.87
2022-12-16,13893.07
2022-12-15,13986.23
2022-12-14,14460.2
2022-12-13,14497.89
2022-12-12,14306.63
2022-12-09,14370.72
2022-12-08,14264.56
2022-12-07,14261.19
2022-12-06,14343.19
2022-12-05,14447.61
2022-12-02,14529.39
2022-12-01,14490.3
2022-11-30,14397.04
2022-11-29,14355.45
2022-11-28,14383.36
2022-11-25,14541.38
2022-11-24,14539.56
2022-11-23,14427.59
2022-11-22,14422.35
2022-11-21,14379.93
2022-11-18,14431.86
2022-11-17,14266.38
2022-11-16,14234.03
2022-11-15,14378.51
2022-11-14,14313.3
2022-11-11,14224.86
2022-11-10,14146.09
2022-11-09,13666.32
2022-11-08,13688.75
2022-11-07,13533.52
2022-11-04,13459.85
2022-11-03,13130.19
2022-11-02,13256.74
2022-11-01,13338.74
2022-10-31,13253.74
2022-10-28,13243.33
2022-10-27,13211.23
2022-10-26,13195.81
2022-10-25,13052.96
2022-10-24,12931.45
2022-10-21,12730.9
2022-10-20,12767.41
2022-10-19,12741.41
2022-10-18,12765.61
2022-10-17,12649.03
2022-10-14,12437.81
2022-10-13,12355.58
2022-10-12,12172.26
2022-10-11,12220.25
2022-10-10,12272.94
2022-10-07,12273.0
2022-10-06,12470.78
2022-10-05,12517.18
2022-10-04,12670.48
2022-10-03,12209.48
2022-09-30,12114.36
2022-09-29,11975.55
2022-09-28,12183.28
2022-09-27,12139.68
2022-09-26,12227.92
2022-09-23,12284.19
2022-09-22,12531.63
2022-09-21,12767.15
2022-09-20,12670.83
2022-09-19,12803.24
2022-09-16,12741.26
2022-09-15,12956.66
2022-09-14,13028.0
2022-09-13,13188.95
2022-09-12,13402.27
2022-09-09,13088.21
2022-09-08,12904.32
2022-09-07,12915.97
2022-09-06,12871.44
2022-09-05,12760.78
2022-09-02,13050.27
2022-09-01,12630.23
2022-08-31,12834.96
2022-08-30,12961.14
2022-08-29,12892.99
2022-08-26,12971.47
2022-08-25,13271.96
2022-08-24,13220.06
2022-08-23,13194.23
2022-08-22,13230.57
2022-08-19,13544.52
2022-08-18,13697.41
2022-08-17,13626.71
2022-08-16,13910.12
2022-08-15,13816.61
2022-08-12,13795.85
2022-08-11,13694.51
2022-08-10,13700.93
2022-08-09,13534.97
2022-08-08,13687.69
2022-08-05,13573.93
2022-08-04,13662.68
