,Close
2024-05-08,18313.86
2024-05-07,18479.37
2024-05-06,18578.3
2024-05-03,18475.92
2024-05-02,18207.13
2024-04-30,17763.03
2024-04-29,17746.91
2024-04-26,17651.15
2024-04-25,17284.54
2024-04-24,17201.27
2024-04-23,16828.93
2024-04-22,16511.69
2024-04-19,16224.14
2024-04-18,16385.87
2024-04-17,16251.84
2024-04-16,16248.97
2024-04-15,16600.46
2024-04-12,16721.69
2024-04-11,17095.03
2024-04-10,17139.17
2024-04-09,16828.07
2024-04-08,16732.85
2024-04-05,16723.92
2024-04-03,16725.1
2024-04-02,16931.52
2024-03-28,16541.42
2024-03-27,16392.84
2024-03-26,16618.32
2024-03-25,16473.64
2024-03-22,16499.47
2024-03-21,16863.1
2024-03-20,16543.07
2024-03-19,16529.48
2024-03-18,16737.12
2024-03-15,16720.89
2024-03-14,16961.66
2024-03-13,17082.11
2024-03-12,17093.5
2024-03-11,16587.57
2024-03-08,16353.39
2024-03-07,16229.78
2024-03-06,16438.09
2024-03-05,16162.64
2024-03-04,16595.97
2024-03-01,16589.44
2024-02-29,16511.44
2024-02-28,16536.85
2024-02-27,16790.8
2024-02-26,16634.74
2024-02-23,16725.86
2024-02-22,16742.95
2024-02-21,16503.1
2024-02-20,16247.51
2024-02-19,16155.61
2024-02-16,16339.96
2024-02-15,15944.63
2024-02-14,15879.38
2024-02-09,15746.58
2024-02-08,15878.07
2024-02-07,16081.89
2024-02-06,16136.87
2024-02-05,15510.01
2024-02-02,15533.56
2024-02-01,15566.21
2024-01-31,15485.07
2024-01-30,15703.45
2024-01-29,16077.24
2024-01-26,15952.23
2024-01-25,16211.96
2024-01-24,15899.87
2024-01-23,15353.98
2024-01-22,14961.18
2024-01-19,15308.69
2024-01-18,15391.79
2024-01-17,15276.9
2024-01-16,15865.92
2024-01-15,16216.33
2024-01-12,16244.58
2024-01-11,16302.04
2024-01-10,16097.28
2024-01-09,16190.02
2024-01-08,16224.45
2024-01-05,16535.33
2024-01-04,16645.98
2024-01-03,16646.41
2024-01-02,16788.55
2023-12-29,17047.39
2023-12-28,17043.53
2023-12-27,16624.84
2023-12-22,16340.41
2023-12-21,16621.13
2023-12-20,16613.81
2023-12-19,16505.0
2023-12-18,16629.23
2023-12-15,16792.19
2023-12-14,16402.19
2023-12-13,16228.75
2023-12-12,16374.5
2023-12-11,16201.49
2023-12-08,16334.37
2023-12-07,16345.89
2023-12-06,16463.26
2023-12-05,16327.86
2023-12-04,16646.05
2023-12-01,16830.3
2023-11-30,17042.88
2023-11-29,16993.44
2023-11-28,17354.14
2023-11-27,17525.06
2023-11-24,17559.42
2023-11-23,17910.84
2023-11-22,17734.6
2023-11-21,17733.89
2023-11-20,17778.07
2023-11-17,17454.19
2023-11-16,17832.82
2023-11-15,18079.0
2023-11-14,17396.86
2023-11-13,17426.21
2023-11-10,17203.26
2023-11-09,17511.29
2023-11-08,17568.46
2023-11-07,17670.16
2023-11-06,17966.59
2023-11-03,17664.12
2023-11-02,17230.59
2023-11-01,17101.78
2023-10-31,17112.48
2023-10-30,17406.36
2023-10-27,17398.73
2023-10-26,17044.61
2023-10-25,17085.33
2023-10-24,16991.53
2023-10-20,17172.13
2023-10-19,17295.89
2023-10-18,17732.52
2023-10-17,17773.34
2023-10-16,17640.36
2023-10-13,17813.45
2023-10-12,18238.21
2023-10-11,17893.1
2023-10-10,17664.73
2023-10-09,17517.4
2023-10-06,17485.98
2023-10-05,17213.87
2023-10-04,17195.84
2023-10-03,17331.22
2023-09-29,17809.66
2023-09-28,17373.03
2023-09-27,17611.87
2023-09-26,17466.9
2023-09-25,17729.29
2023-09-22,18057.45
2023-09-21,17655.41
2023-09-20,17885.6
2023-09-19,17997.17
2023-09-18,17930.55
2023-09-15,18182.89
2023-09-14,18047.92
2023-09-13,18009.22
2023-09-12,18025.89
2023-09-11,18096.45
2023-09-07,18202.07
2023-09-06,18449.98
2023-09-05,18456.91
2023-09-04,18844.16
2023-08-31,18382.06
2023-08-30,18482.86
2023-08-29,18484.03
2023-08-28,18130.74
2023-08-25,17956.38
2023-08-24,18212.17
2023-08-23,17845.92
2023-08-22,17791.01
2023-08-21,17623.29
2023-08-18,17950.85
2023-08-17,18326.63
2023-08-16,18329.3
2023-08-15,18581.11
2023-08-14,18773.55
2023-08-11,19075.19
2023-08-10,19248.26
2023-08-09,19246.03
2023-08-08,19184.17
2023-08-07,19537.92
2023-08-04,19539.46
2023-08-03,19420.87
2023-08-02,19517.38
2023-08-01,20011.12
2023-07-31,20078.94
2023-07-28,19916.56
2023-07-27,19639.11
2023-07-26,19365.14
2023-07-25,19434.4
2023-07-24,18668.15
2023-07-21,19075.26
2023-07-20,18928.02
2023-07-19,18952.31
2023-07-18,19015.72
2023-07-14,19413.78
2023-07-13,19350.62
2023-07-12,18860.95
2023-07-11,18659.83
2023-07-10,18479.72
2023-07-07,18365.7
2023-07-06,18533.05
2023-07-05,19110.38
2023-07-04,19415.68
2023-07-03,19306.59
2023-06-30,18916.43
2023-06-29,18934.36
2023-06-28,19172.05
2023-06-27,19148.13
2023-06-26,18794.13
2023-06-23,18889.97
2023-06-21,19218.35
2023-06-20,19607.08
2023-06-19,19912.89
2023-06-16,20040.37
2023-06-15,19828.92
2023-06-14,19408.42
2023-06-13,19521.42
2023-06-12,19404.31
2023-06-09,19389.95
2023-06-08,19299.18
2023-06-07,19252.0
2023-06-06,19099.28
2023-06-05,19108.5
2023-06-02,18949.94
2023-06-01,18216.91
2023-05-31,18234.27
2023-05-30,18595.78
2023-05-29,18551.11
2023-05-25,18746.92
2023-05-24,19115.93
2023-05-23,19431.25
2023-05-22,19678.17
2023-05-19,19450.57
2023-05-18,19727.25
2023-05-17,19560.57
2023-05-16,19978.25
2023-05-15,19971.13
2023-05-12,19627.24
2023-05-11,19743.79
2023-05-10,19762.2
2023-05-09,19867.58
2023-05-08,20297.03
2023-05-05,20049.31
2023-05-04,19948.73
2023-05-03,19699.16
2023-05-02,19933.81
2023-04-28,19894.57
2023-04-27,19840.28
2023-04-26,19757.27
2023-04-25,19617.88
2023-04-24,19959.94
2023-04-21,20075.73
2023-04-20,20396.97
2023-04-19,20367.76
2023-04-18,20650.51
2023-04-17,20782.45
2023-04-14,20438.81
2023-04-13,20344.48
2023-04-12,20309.86
2023-04-11,20485.24
2023-04-06,20331.2
2023-04-04,20274.59
2023-04-03,20409.18
2023-03-31,20400.11
2023-03-30,20309.13
2023-03-29,20192.4
2023-03-28,19784.65
2023-03-27,19567.69
2023-03-24,19915.68
2023-03-23,20049.64
2023-03-22,19591.43
2023-03-21,19258.76
2023-03-20,19000.71
2023-03-17,19518.59
2023-03-16,19203.91
2023-03-15,19539.87
2023-03-14,19247.96
2023-03-13,19695.97
2023-03-10,19319.92
2023-03-09,19925.74
2023-03-08,20051.25
2023-03-07,20534.48
2023-03-06,20603.19
2023-03-03,20567.54
2023-03-02,20429.46
2023-03-01,20619.71
2023-02-28,19785.94
2023-02-27,19943.51
2023-02-24,20010.04
2023-02-23,20351.35
2023-02-22,20423.84
2023-02-21,20529.49
2023-02-20,20886.96
2023-02-17,20719.81
2023-02-16,20987.67
2023-02-15,20812.17
2023-02-14,21113.76
2023-02-13,21164.42
2023-02-10,21190.42
2023-02-09,21624.36
2023-02-08,21283.52
2023-02-07,21298.7
2023-02-06,21222.16
2023-02-03,21660.47
2023-02-02,21958.36
2023-02-01,22072.18
2023-01-31,21842.33
2023-01-30,22069.73
2023-01-27,22688.9
2023-01-26,22566.78
2023-01-20,22044.65
2023-01-19,21650.98
2023-01-18,21678.0
2023-01-17,21577.64
2023-01-16,21746.72
2023-01-13,21738.66
2023-01-12,21514.1
2023-01-11,21436.05
2023-01-10,21331.46
2023-01-09,21388.34
2023-01-06,20991.64
2023-01-05,21052.17
2023-01-04,20793.11
2023-01-03,20145.29
2022-12-30,19781.41
2022-12-29,19741.14
2022-12-28,19898.91
2022-12-23,19593.06
2022-12-22,19679.22
2022-12-21,19160.49
2022-12-20,19094.8
2022-12-19,19352.81
2022-12-16,19450.67
2022-12-15,19368.59
2022-12-14,19673.45
2022-12-13,19596.2
2022-12-12,19463.63
2022-12-09,19900.87
2022-12-08,19450.23
2022-12-07,18814.82
2022-12-06,19441.18
2022-12-05,19518.29
2022-12-02,18675.35
2022-12-01,18736.44
2022-11-30,18597.23
2022-11-29,18204.68
2022-11-28,17297.94
2022-11-25,17573.58
2022-11-24,17660.9
2022-11-23,17523.81
2022-11-22,17424.41
2022-11-21,17655.91
2022-11-18,17992.54
2022-11-17,18045.66
2022-11-16,18256.48
2022-11-15,18343.12
2022-11-14,17619.71
2022-11-11,17325.66
2022-11-10,16081.04
2022-11-09,16358.52
2022-11-08,16557.31
2022-11-07,16595.91
2022-11-04,16161.14
2022-11-03,15339.49
2022-11-02,15827.17
2022-11-01,15455.27
2022-10-31,14687.02
2022-10-28,14863.06
2022-10-27,15427.94
2022-10-26,15317.67
2022-10-25,15165.59
2022-10-24,15180.69
2022-10-21,16211.12
2022-10-20,16280.22
2022-10-19,16511.28
2022-10-18,16914.58
2022-10-17,16612.9
2022-10-14,16587.69
2022-10-13,16389.11
2022-10-12,16701.03
2022-10-11,16832.36
2022-10-10,17216.66
2022-10-07,17740.05
2022-10-06,18012.15
2022-10-05,18087.97
2022-10-03,17079.51
2022-09-30,17222.83
2022-09-29,17165.87
2022-09-28,17250.88
2022-09-27,17860.31
2022-09-26,17855.14
2022-09-23,17933.27
2022-09-22,18147.95
2022-09-21,18444.62
2022-09-20,18781.42
2022-09-19,18565.97
2022-09-16,18761.69
2022-09-15,18930.38
2022-09-14,18847.1
2022-09-13,19326.86
2022-09-09,19362.25
2022-09-08,18854.62
2022-09-07,19044.3
2022-09-06,19202.73
2022-09-05,19225.7
2022-09-02,19452.09
2022-09-01,19597.31
2022-08-31,19954.39
2022-08-30,19949.03
2022-08-29,20023.22
2022-08-26,20170.04
2022-08-25,19968.38
2022-08-24,19268.74
2022-08-23,19503.25
2022-08-22,19656.98
2022-08-19,19773.03
2022-08-18,19763.91
2022-08-17,19922.45
2022-08-16,19830.52
2022-08-15,20040.86
2022-08-12,20175.62
2022-08-11,20082.43
2022-08-10,19610.84
2022-08-09,20003.44
2022-08-08,20045.77
2022-08-05,20201.94
2022-08-04,20174.04
