,Close
2024-05-10,18161.18
2024-05-09,18113.46
2024-05-08,18085.01
2024-05-07,18091.45
2024-05-06,18093.57
2024-05-03,17890.79
2024-05-02,17541.54
2024-05-01,17318.55
2024-04-30,17440.69
2024-04-29,17782.72
2024-04-26,17718.3
2024-04-25,17430.5
2024-04-24,17526.8
2024-04-23,17471.47
2024-04-22,17210.89
2024-04-19,17037.65
2024-04-18,17394.31
2024-04-17,17493.62
2024-04-16,17713.66
2024-04-15,17706.83
2024-04-12,18003.49
2024-04-11,18307.98
2024-04-10,18011.65
2024-04-09,18169.9
2024-04-08,18100.19
2024-04-05,18108.46
2024-04-04,17878.78
2024-04-03,18160.19
2024-04-02,18121.78
2024-04-01,18293.2
2024-03-28,18254.69
2024-03-27,18280.84
2024-03-26,18210.54
2024-03-25,18277.06
2024-03-22,18339.44
2024-03-21,18320.38
2024-03-20,18240.11
2024-03-19,18032.21
2024-03-18,17985.01
2024-03-15,17808.25
2024-03-14,18014.81
2024-03-13,18068.47
2024-03-12,18219.12
2024-03-11,17951.69
2024-03-08,18018.45
2024-03-07,18297.99
2024-03-06,18017.57
2024-03-05,17897.87
2024-03-04,18226.48
2024-03-01,18302.91
2024-02-29,18043.85
2024-02-28,17874.5
2024-02-27,17971.05
2024-02-26,17933.33
2024-02-23,17937.61
2024-02-22,18004.7
2024-02-21,17478.91
2024-02-20,17546.1
2024-02-16,17685.98
2024-02-15,17845.72
2024-02-14,17807.63
2024-02-13,17600.42
2024-02-12,17882.66
2024-02-09,17962.4
2024-02-08,17783.17
2024-02-07,17755.07
2024-02-06,17572.73
2024-02-05,17613.04
2024-02-02,17642.73
2024-02-01,17344.71
2024-01-31,17137.24
2024-01-30,17476.71
2024-01-29,17596.27
2024-01-26,17421.01
2024-01-25,17516.99
2024-01-24,17499.3
2024-01-23,17404.21
2024-01-22,17330.38
2024-01-19,17314.0
2024-01-18,16982.29
2024-01-17,16736.28
2024-01-16,16830.71
2024-01-12,16832.92
2024-01-11,16820.9
2024-01-10,16793.04
2024-01-09,16678.71
2024-01-08,16649.88
2024-01-05,16305.98
2024-01-04,16282.01
2024-01-03,16368.49
2024-01-02,16543.94
2023-12-29,16825.93
2023-12-28,16898.47
2023-12-27,16906.8
2023-12-26,16878.46
2023-12-22,16777.4
2023-12-21,16757.41
2023-12-20,16554.16
2023-12-19,16811.85
2023-12-18,16729.8
2023-12-15,16623.45
2023-12-14,16537.83
2023-12-13,16562.37
2023-12-12,16354.25
2023-12-11,16221.73
2023-12-08,16084.69
2023-12-07,16022.49
2023-12-06,15788.05
2023-12-05,15877.71
2023-12-04,15839.67
2023-12-01,15997.58
2023-11-30,15947.87
2023-11-29,15987.6
2023-11-28,16010.43
2023-11-27,15961.98
2023-11-24,15982.01
2023-11-22,16001.39
2023-11-21,15933.62
2023-11-20,16027.06
2023-11-17,15837.99
2023-11-16,15833.17
2023-11-15,15817.18
2023-11-14,15812.47
2023-11-13,15482.79
2023-11-10,15529.12
